
Call:  glmnet(x = x, y = y, alpha = 0.55, family = "gaussian", standardize = TRUE) 

   Df    %Dev  Lambda
1   0 0.00000 0.81800
2   2 0.01134 0.74530
3   3 0.02304 0.67910
4   6 0.03937 0.61880
5   6 0.05456 0.56380
6   6 0.06746 0.51370
7   7 0.07860 0.46810
8   8 0.08839 0.42650
9  14 0.10030 0.38860
10 17 0.11440 0.35410
11 21 0.12760 0.32260
12 23 0.14280 0.29400
13 26 0.15670 0.26790
14 29 0.17130 0.24410
15 32 0.18610 0.22240
16 34 0.20080 0.20260
17 37 0.21450 0.18460
18 40 0.22780 0.16820
19 44 0.24280 0.15330
20 47 0.25700 0.13970
21 47 0.26940 0.12730
22 48 0.27980 0.11600
23 53 0.28960 0.10570
24 57 0.29900 0.09626
25 60 0.30720 0.08771
26 62 0.31480 0.07992
27 64 0.32130 0.07282
28 67 0.32720 0.06635
29 69 0.33290 0.06046
30 71 0.33790 0.05509
31 75 0.34230 0.05019
32 76 0.34640 0.04573
33 76 0.34980 0.04167
34 80 0.35280 0.03797
35 80 0.35530 0.03460
36 82 0.35760 0.03152
37 82 0.35950 0.02872
38 83 0.36110 0.02617
39 84 0.36260 0.02385
40 84 0.36380 0.02173
41 84 0.36490 0.01980
42 84 0.36580 0.01804
43 84 0.36650 0.01644
44 84 0.36710 0.01498
45 84 0.36760 0.01365
46 84 0.36800 0.01243
47 84 0.36840 0.01133
48 84 0.36870 0.01032
49 84 0.36890 0.00940
50 84 0.36910 0.00857
51 84 0.36930 0.00781
52 84 0.36950 0.00712
53 84 0.36960 0.00648
54 84 0.36970 0.00591
55 84 0.36980 0.00538
56 84 0.36980 0.00490
57 84 0.36990 0.00447
58 84 0.36990 0.00407
59 84 0.37000 0.00371
60 84 0.37000 0.00338
61 84 0.37000 0.00308
62 84 0.37010 0.00281
63 84 0.37010 0.00256
64 84 0.37010 0.00233
65 84 0.37010 0.00212
66 84 0.37010 0.00193
67 84 0.37010 0.00176
68 84 0.37020 0.00161
69 84 0.37020 0.00146
70 84 0.37020 0.00133
71 84 0.37020 0.00122
72 84 0.37020 0.00111
73 84 0.37020 0.00101
74 84 0.37020 0.00092
