
Call:  glmnet(x = x, y = y, alpha = 0.85, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1    0 0.00000 12.5200
2    1 0.00381 11.4100
3    1 0.00698 10.3900
4    1 0.00961  9.4710
5    1 0.01179  8.6300
6    1 0.01360  7.8630
7    1 0.01511  7.1650
8    1 0.01636  6.5280
9    2 0.01922  5.9480
10   2 0.02329  5.4200
11   2 0.02666  4.9380
12   2 0.02946  4.5000
13   2 0.03179  4.1000
14   2 0.03372  3.7360
15   2 0.03533  3.4040
16   2 0.03666  3.1010
17   3 0.03790  2.8260
18   3 0.04171  2.5750
19   3 0.04486  2.3460
20   3 0.04748  2.1380
21   3 0.04965  1.9480
22   3 0.05146  1.7750
23   3 0.05296  1.6170
24   3 0.05421  1.4730
25   3 0.05524  1.3430
26   4 0.05648  1.2230
27   4 0.05756  1.1150
28   4 0.05846  1.0160
29   4 0.05921  0.9254
30   4 0.05983  0.8432
31   4 0.06034  0.7683
32   4 0.06076  0.7000
33   5 0.06167  0.6378
34   5 0.06253  0.5812
35   5 0.06324  0.5295
36   5 0.06384  0.4825
37   5 0.06433  0.4396
38   5 0.06474  0.4006
39   5 0.06508  0.3650
40   5 0.06536  0.3326
41   5 0.06559  0.3030
42   6 0.06620  0.2761
43   7 0.06687  0.2516
44   7 0.06744  0.2292
45   8 0.06804  0.2089
46  12 0.08004  0.1903
47  12 0.09112  0.1734
48  12 0.10040  0.1580
49  13 0.10830  0.1440
50  13 0.11510  0.1312
51  15 0.12090  0.1195
52  16 0.12740  0.1089
53  16 0.13340  0.0992
54  18 0.14160  0.0904
55  18 0.15120  0.0824
56  21 0.16050  0.0751
57  21 0.16970  0.0684
58  21 0.17740  0.0623
59  23 0.18420  0.0568
60  24 0.19090  0.0517
61  25 0.19730  0.0471
62  28 0.20430  0.0430
63  29 0.21080  0.0391
64  33 0.21760  0.0357
65  34 0.22580  0.0325
66  35 0.23380  0.0296
67  37 0.24160  0.0270
68  43 0.25160  0.0246
69  47 0.26490  0.0224
70  49 0.27670  0.0204
71  50 0.28680  0.0186
72  53 0.29560  0.0169
73  56 0.30380  0.0154
74  56 0.31100  0.0141
75  57 0.31710  0.0128
76  59 0.32300  0.0117
77  60 0.32800  0.0106
78  63 0.33270  0.0097
79  64 0.33740  0.0088
80  66 0.34130  0.0080
81  68 0.34470  0.0073
82  70 0.34770  0.0067
83  70 0.35070  0.0061
84  70 0.35320  0.0055
85  72 0.35550  0.0051
86  73 0.35750  0.0046
87  74 0.35940  0.0042
88  75 0.36110  0.0038
89  75 0.36250  0.0035
90  75 0.36370  0.0032
91  75 0.36470  0.0029
92  75 0.36560  0.0026
93  76 0.36620  0.0024
94  77 0.36690  0.0022
95  76 0.36740  0.0020
96  79 0.36780  0.0018
97  79 0.36820  0.0017
98  79 0.36850  0.0015
99  79 0.36880  0.0014
100 80 0.36900  0.0013
