
Call:  glmnet(x = x, y = y, alpha = 0.05, family = "gaussian", standardize = TRUE) 

    Df    %Dev Lambda
1    0 0.00000 9.7370
2    1 0.00193 8.8720
3    2 0.00556 8.0840
4    2 0.00940 7.3660
5    2 0.01336 6.7120
6   10 0.02008 6.1150
7   13 0.03053 5.5720
8   15 0.04133 5.0770
9   19 0.05232 4.6260
10  24 0.06401 4.2150
11  31 0.07699 3.8410
12  36 0.09077 3.4990
13  41 0.10420 3.1890
14  46 0.11910 2.9050
15  48 0.13390 2.6470
16  53 0.14920 2.4120
17  60 0.16530 2.1980
18  64 0.18180 2.0020
19  68 0.19840 1.8250
20  70 0.21440 1.6630
21  71 0.22970 1.5150
22  75 0.24430 1.3800
23  79 0.25840 1.2580
24  84 0.27190 1.1460
25  89 0.28470 1.0440
26  90 0.29740 0.9513
27  93 0.30950 0.8668
28  96 0.32120 0.7898
29  97 0.33210 0.7197
30  99 0.34240 0.6557
31 104 0.35210 0.5975
32 108 0.36110 0.5444
33 109 0.37010 0.4960
34 111 0.37860 0.4520
35 116 0.38680 0.4118
36 117 0.39480 0.3752
37 117 0.40230 0.3419
38 119 0.40940 0.3115
39 121 0.41600 0.2838
40 123 0.42210 0.2586
41 123 0.42780 0.2357
42 123 0.43320 0.2147
43 123 0.43810 0.1956
44 124 0.44280 0.1783
45 125 0.44730 0.1624
46 127 0.45140 0.1480
47 128 0.45540 0.1349
48 129 0.45940 0.1229
49 129 0.46300 0.1120
50 129 0.46630 0.1020
51 128 0.46940 0.0930
52 127 0.47210 0.0847
53 126 0.47460 0.0772
54 127 0.47690 0.0703
55 127 0.47920 0.0641
56 127 0.48120 0.0584
57 127 0.48290 0.0532
58 127 0.48450 0.0485
59 126 0.48600 0.0442
60 125 0.48730 0.0402
61 125 0.48840 0.0367
62 126 0.48940 0.0334
63 126 0.49030 0.0304
64 125 0.49110 0.0277
65 125 0.49170 0.0253
66 125 0.49230 0.0230
67 125 0.49290 0.0210
68 124 0.49330 0.0191
69 124 0.49370 0.0174
70 124 0.49400 0.0159
71 123 0.49430 0.0145
72 122 0.49460 0.0132
73 123 0.49480 0.0120
74 122 0.49500 0.0109
75 121 0.49510 0.0100
76 120 0.49530 0.0091
77 120 0.49540 0.0083
78 121 0.49550 0.0075
79 121 0.49560 0.0069
80 122 0.49560 0.0063
81 122 0.49570 0.0057
82 122 0.49580 0.0052
83 122 0.49580 0.0047
84 123 0.49580 0.0043
85 123 0.49590 0.0039
86 123 0.49590 0.0036
87 123 0.49590 0.0033
88 123 0.49590 0.0030
89 123 0.49600 0.0027
90 124 0.49600 0.0025
91 124 0.49600 0.0022
92 124 0.49600 0.0020
93 123 0.49600 0.0019
94 123 0.49600 0.0017
95 127 0.49600 0.0016
96 127 0.49600 0.0014
97 127 0.49600 0.0013
