
Call:  glmnet(x = x, y = y, alpha = 0.6, family = "gaussian", standardize = FALSE) 

     Df    %Dev Lambda
1     0 0.00000 3.3940
2     2 0.00918 3.0930
3     2 0.01776 2.8180
4     2 0.02491 2.5680
5     2 0.03088 2.3390
6     2 0.03586 2.1320
7     4 0.04088 1.9420
8     4 0.04586 1.7700
9     4 0.05000 1.6120
10    4 0.05345 1.4690
11    4 0.05632 1.3390
12    6 0.05905 1.2200
13    6 0.06178 1.1110
14    7 0.06466 1.0130
15    7 0.06741 0.9227
16    9 0.06985 0.8407
17    9 0.07242 0.7661
18    9 0.07455 0.6980
19   10 0.07678 0.6360
20   10 0.07863 0.5795
21   12 0.08038 0.5280
22   12 0.08198 0.4811
23   13 0.08332 0.4384
24   13 0.08463 0.3994
25   14 0.08577 0.3639
26   14 0.08681 0.3316
27   15 0.09334 0.3021
28   15 0.10050 0.2753
29   15 0.10690 0.2508
30   15 0.11420 0.2286
31   15 0.12180 0.2083
32   17 0.12890 0.1898
33   18 0.13560 0.1729
34   19 0.14280 0.1575
35   19 0.14910 0.1435
36   21 0.15630 0.1308
37   24 0.16760 0.1192
38   27 0.17920 0.1086
39   28 0.18970 0.0989
40   28 0.19860 0.0901
41   32 0.20700 0.0821
42   33 0.21530 0.0748
43   35 0.22300 0.0682
44   39 0.23200 0.0621
45   41 0.24230 0.0566
46   42 0.25170 0.0516
47   42 0.25980 0.0470
48   44 0.26760 0.0428
49   47 0.27600 0.0390
50   52 0.28490 0.0356
51   56 0.29510 0.0324
52   59 0.30500 0.0295
53   62 0.31450 0.0269
54   66 0.32490 0.0245
55   71 0.33620 0.0223
56   72 0.34710 0.0204
57   73 0.35730 0.0185
58   75 0.36700 0.0169
59   79 0.37610 0.0154
60   82 0.38490 0.0140
61   81 0.39280 0.0128
62   84 0.40030 0.0116
63   84 0.40760 0.0106
64   86 0.41440 0.0097
65   86 0.42090 0.0088
66   89 0.42710 0.0080
67   93 0.43310 0.0073
68   95 0.43900 0.0067
69   98 0.44440 0.0061
70  100 0.44950 0.0055
71   99 0.45410 0.0050
72   99 0.45800 0.0046
73  103 0.46150 0.0042
74  105 0.46500 0.0038
75  107 0.46830 0.0035
76  108 0.47140 0.0032
77  109 0.47430 0.0029
78  109 0.47710 0.0026
79  109 0.47950 0.0024
80  109 0.48180 0.0022
81  110 0.48380 0.0020
82  111 0.48550 0.0018
83  111 0.48690 0.0016
84  111 0.48830 0.0015
85  111 0.48940 0.0014
86  112 0.49030 0.0012
87  112 0.49110 0.0011
88  113 0.49190 0.0010
89  113 0.49250 0.0009
90  113 0.49300 0.0009
91  115 0.49340 0.0008
92  117 0.49380 0.0007
93  117 0.49420 0.0007
94  117 0.49440 0.0006
95  117 0.49470 0.0005
96  118 0.49490 0.0005
97  121 0.49510 0.0004
98  121 0.49520 0.0004
99  121 0.49530 0.0004
100 121 0.49540 0.0003
