
Call:  glmnet(x = x, y = y, alpha = 0.6, family = "gaussian", standardize = TRUE) 

    Df    %Dev  Lambda
1    0 0.00000 0.81140
2    1 0.00833 0.73940
3    2 0.02203 0.67370
4    2 0.03411 0.61380
5    2 0.04444 0.55930
6    3 0.05433 0.50960
7    5 0.06811 0.46430
8    7 0.08154 0.42310
9   10 0.09462 0.38550
10  13 0.10750 0.35130
11  19 0.12310 0.32000
12  23 0.14120 0.29160
13  25 0.16130 0.26570
14  28 0.17910 0.24210
15  36 0.19800 0.22060
16  42 0.21840 0.20100
17  47 0.24110 0.18310
18  48 0.26200 0.16690
19  51 0.28130 0.15200
20  53 0.29830 0.13850
21  56 0.31440 0.12620
22  60 0.32840 0.11500
23  60 0.34050 0.10480
24  63 0.35150 0.09549
25  66 0.36310 0.08701
26  70 0.37330 0.07928
27  74 0.38240 0.07224
28  84 0.39060 0.06582
29  86 0.39860 0.05997
30  90 0.40610 0.05464
31  96 0.41480 0.04979
32  98 0.42280 0.04537
33 102 0.43030 0.04134
34 102 0.43700 0.03766
35 106 0.44280 0.03432
36 111 0.44870 0.03127
37 114 0.45390 0.02849
38 117 0.45850 0.02596
39 121 0.46280 0.02365
40 123 0.46720 0.02155
41 127 0.47130 0.01964
42 128 0.47490 0.01789
43 129 0.47820 0.01630
44 128 0.48110 0.01486
45 128 0.48350 0.01354
46 127 0.48550 0.01233
47 126 0.48720 0.01124
48 124 0.48860 0.01024
49 124 0.48980 0.00933
50 124 0.49080 0.00850
51 123 0.49160 0.00775
52 122 0.49230 0.00706
53 121 0.49290 0.00643
54 121 0.49340 0.00586
55 121 0.49380 0.00534
56 120 0.49410 0.00486
57 120 0.49440 0.00443
58 120 0.49460 0.00404
59 122 0.49490 0.00368
60 122 0.49500 0.00335
61 122 0.49520 0.00306
62 122 0.49530 0.00278
63 121 0.49540 0.00254
64 121 0.49550 0.00231
65 121 0.49560 0.00211
66 120 0.49570 0.00192
67 120 0.49570 0.00175
68 120 0.49580 0.00159
69 120 0.49580 0.00145
70 120 0.49580 0.00132
71 120 0.49590 0.00120
72 120 0.49590 0.00110
73 120 0.49590 0.00100
74 119 0.49590 0.00091
75 119 0.49600 0.00083
76 119 0.49600 0.00076
77 120 0.49600 0.00069
78 121 0.49600 0.00063
79 122 0.49600 0.00057
80 122 0.49600 0.00052
81 121 0.49600 0.00048
82 122 0.49600 0.00043
83 123 0.49600 0.00039
84 123 0.49600 0.00036
