
Call:  glmnet(x = x, y = y, alpha = 0.15, family = "gaussian", standardize = FALSE) 

     Df    %Dev Lambda
1     0 0.00000 36.420
2     1 0.00157 33.190
3     1 0.00288 30.240
4     1 0.00397 27.550
5     1 0.00488 25.100
6     1 0.00563 22.870
7     2 0.00635 20.840
8     2 0.00863 18.990
9     2 0.01054 17.300
10    2 0.01215 15.770
11    2 0.01349 14.370
12    2 0.01462 13.090
13    2 0.01556 11.930
14    2 0.01634 10.870
15    2 0.01700  9.901
16    3 0.01760  9.022
17    3 0.01861  8.220
18    3 0.01946  7.490
19    4 0.02041  6.825
20    5 0.02136  6.218
21    7 0.02400  5.666
22    7 0.02689  5.163
23    7 0.02934  4.704
24    7 0.03142  4.286
25    7 0.03316  3.905
26    7 0.03464  3.558
27    7 0.03588  3.242
28    8 0.03697  2.954
29    8 0.03793  2.692
30    8 0.03873  2.453
31    9 0.03976  2.235
32    9 0.04064  2.036
33    9 0.04138  1.855
34    9 0.04200  1.691
35    9 0.04252  1.540
36    9 0.04295  1.403
37   11 0.04492  1.279
38   11 0.04811  1.165
39   11 0.05127  1.062
40   13 0.05594  0.967
41   14 0.06073  0.881
42   15 0.06673  0.803
43   16 0.07315  0.732
44   17 0.07955  0.667
45   18 0.08677  0.608
46   18 0.09386  0.554
47   19 0.10060  0.504
48   20 0.10890  0.460
49   22 0.11710  0.419
50   22 0.12520  0.382
51   26 0.13370  0.348
52   28 0.14330  0.317
53   30 0.15320  0.289
54   33 0.16330  0.263
55   34 0.17290  0.240
56   35 0.18210  0.218
57   38 0.19120  0.199
58   38 0.20000  0.181
59   44 0.20910  0.165
60   46 0.21840  0.150
61   47 0.22740  0.137
62   51 0.23620  0.125
63   55 0.24530  0.114
64   58 0.25440  0.104
65   59 0.26360  0.095
66   64 0.27260  0.086
67   65 0.28150  0.078
68   67 0.29010  0.072
69   70 0.29860  0.065
70   76 0.30740  0.059
71   77 0.31600  0.054
72   80 0.32420  0.049
73   82 0.33210  0.045
74   83 0.33990  0.041
75   86 0.34760  0.037
76   85 0.35490  0.034
77   86 0.36180  0.031
78   89 0.36840  0.028
79   90 0.37470  0.026
80   91 0.38070  0.023
81   93 0.38650  0.021
82   96 0.39200  0.019
83   96 0.39730  0.018
84   97 0.40240  0.016
85   99 0.40710  0.015
86   99 0.41160  0.013
87   98 0.41590  0.012
88  101 0.41980  0.011
89  102 0.42360  0.010
90  102 0.42710  0.009
91  102 0.43040  0.008
92  102 0.43360  0.008
93  102 0.43650  0.007
94  103 0.43910  0.006
95  106 0.44170  0.006
96  106 0.44400  0.005
97  106 0.44620  0.005
98  107 0.44820  0.004
99  109 0.45000  0.004
100 109 0.45170  0.004
