
Call:  glmnet(x = x, y = y, alpha = 0.45, family = "gaussian", standardize = FALSE) 

     Df    %Dev  Lambda
1     0 0.00000 12.1400
2     1 0.00159 11.0600
3     1 0.00291 10.0800
4     1 0.00401  9.1840
5     1 0.00492  8.3680
6     1 0.00568  7.6240
7     2 0.00638  6.9470
8     2 0.00872  6.3300
9     2 0.01067  5.7680
10    2 0.01229  5.2550
11    2 0.01364  4.7880
12    2 0.01476  4.3630
13    2 0.01570  3.9750
14    2 0.01648  3.6220
15    2 0.01712  3.3000
16    3 0.01768  3.0070
17    3 0.01870  2.7400
18    3 0.01955  2.4970
19    4 0.02048  2.2750
20    5 0.02146  2.0730
21    7 0.02421  1.8890
22    7 0.02723  1.7210
23    7 0.02975  1.5680
24    7 0.03185  1.4290
25    7 0.03360  1.3020
26    7 0.03506  1.1860
27    7 0.03628  1.0810
28    8 0.03730  0.9847
29    8 0.03823  0.8973
30    9 0.03900  0.8175
31    9 0.04004  0.7449
32    9 0.04090  0.6787
33    9 0.04162  0.6184
34    9 0.04222  0.5635
35    9 0.04272  0.5134
36    9 0.04313  0.4678
37   11 0.04729  0.4263
38   11 0.05377  0.3884
39   11 0.05971  0.3539
40   13 0.06826  0.3225
41   13 0.07605  0.2938
42   14 0.08392  0.2677
43   14 0.09153  0.2439
44   15 0.09963  0.2223
45   17 0.10800  0.2025
46   18 0.11920  0.1845
47   19 0.13080  0.1681
48   19 0.14160  0.1532
49   21 0.15130  0.1396
50   21 0.16030  0.1272
51   24 0.17020  0.1159
52   28 0.18240  0.1056
53   28 0.19380  0.0962
54   30 0.20390  0.0877
55   31 0.21360  0.0799
56   33 0.22230  0.0728
57   34 0.23080  0.0663
58   37 0.23880  0.0604
59   40 0.24700  0.0550
60   43 0.25520  0.0502
61   45 0.26420  0.0457
62   49 0.27390  0.0416
63   51 0.28470  0.0380
64   55 0.29520  0.0346
65   58 0.30540  0.0315
66   61 0.31580  0.0287
67   65 0.32700  0.0262
68   66 0.33780  0.0238
69   68 0.34780  0.0217
70   70 0.35730  0.0198
71   71 0.36620  0.0180
72   76 0.37450  0.0164
73   77 0.38240  0.0150
74   78 0.38960  0.0136
75   79 0.39610  0.0124
76   83 0.40220  0.0113
77   83 0.40780  0.0103
78   85 0.41280  0.0094
79   88 0.41760  0.0086
80   87 0.42210  0.0078
81   87 0.42600  0.0071
82   89 0.42960  0.0065
83   94 0.43300  0.0059
84   95 0.43620  0.0054
85   98 0.43920  0.0049
86  100 0.44200  0.0045
87  102 0.44470  0.0041
88  104 0.44720  0.0037
89  104 0.44940  0.0034
90  104 0.45140  0.0031
91  105 0.45310  0.0028
92  106 0.45460  0.0026
93  106 0.45600  0.0023
94  106 0.45730  0.0021
95  106 0.45830  0.0019
96  106 0.45930  0.0018
97  106 0.46010  0.0016
98  107 0.46080  0.0015
99  107 0.46140  0.0013
100 107 0.46190  0.0012
