
Call:  glmnet(x = x, y = y, alpha = 0.8, family = "gaussian", standardize = TRUE) 

    Df    %Dev  Lambda
1    0 0.00000 0.62720
2    1 0.00932 0.57150
3    1 0.01718 0.52070
4    1 0.02378 0.47450
5    1 0.02934 0.43230
6    2 0.03572 0.39390
7    3 0.04423 0.35890
8    5 0.05545 0.32700
9    7 0.06650 0.29800
10   9 0.07870 0.27150
11  12 0.09715 0.24740
12  14 0.11510 0.22540
13  18 0.13480 0.20540
14  23 0.15560 0.18710
15  31 0.17710 0.17050
16  37 0.20180 0.15540
17  42 0.22420 0.14160
18  48 0.24760 0.12900
19  52 0.26960 0.11750
20  54 0.28910 0.10710
21  60 0.30730 0.09758
22  62 0.32390 0.08891
23  63 0.33910 0.08101
24  65 0.35250 0.07381
25  67 0.36390 0.06726
26  69 0.37360 0.06128
27  73 0.38330 0.05584
28  75 0.39170 0.05088
29  80 0.39910 0.04636
30  83 0.40620 0.04224
31  84 0.41260 0.03849
32  85 0.41800 0.03507
33  88 0.42270 0.03195
34  91 0.42740 0.02911
35  93 0.43170 0.02653
36  96 0.43540 0.02417
37  99 0.43870 0.02202
38 102 0.44210 0.02007
39 103 0.44520 0.01828
40 109 0.44820 0.01666
41 109 0.45090 0.01518
42 110 0.45320 0.01383
43 112 0.45510 0.01260
44 114 0.45670 0.01148
45 112 0.45810 0.01046
46 110 0.45920 0.00953
47 110 0.46020 0.00869
48 109 0.46100 0.00792
49 109 0.46160 0.00721
50 109 0.46220 0.00657
51 108 0.46260 0.00599
52 106 0.46300 0.00546
53 106 0.46330 0.00497
54 104 0.46360 0.00453
55 104 0.46380 0.00413
56 103 0.46400 0.00376
57 103 0.46410 0.00343
58 103 0.46430 0.00312
59 103 0.46440 0.00284
60 103 0.46440 0.00259
61 103 0.46450 0.00236
62 103 0.46460 0.00215
63 103 0.46460 0.00196
64 103 0.46470 0.00179
65 103 0.46470 0.00163
66 103 0.46470 0.00148
67 104 0.46480 0.00135
68 104 0.46480 0.00123
69 105 0.46480 0.00112
70 107 0.46480 0.00102
71 110 0.46480 0.00093
72 110 0.46490 0.00085
73 110 0.46490 0.00077
74 111 0.46500 0.00070
75 111 0.46500 0.00064
76 111 0.46500 0.00058
77 110 0.46510 0.00053
78 110 0.46510 0.00049
79 110 0.46510 0.00044
80 110 0.46510 0.00040
81 110 0.46510 0.00037
82 110 0.46510 0.00033
83 110 0.46510 0.00030
