
Call:  glmnet(x = x, y = y, alpha = 0.02, family = "gaussian", standardize = TRUE) 

   Df    %Dev Lambda
1   0 0.00000 38.660
2   3 0.00300 35.230
3   4 0.00738 32.100
4   5 0.01287 29.250
5   7 0.01923 26.650
6   7 0.02669 24.280
7   9 0.03465 22.120
8   9 0.04354 20.160
9   9 0.05254 18.370
10  9 0.06161 16.740
11  9 0.07072 15.250
12 10 0.08012 13.890
13 11 0.08979 12.660
14 12 0.09985 11.540
15 14 0.11030 10.510
16 15 0.12120  9.577
17 16 0.13200  8.726
18 18 0.14290  7.951
19 21 0.15450  7.244
20 24 0.16620  6.601
21 27 0.17840  6.014
22 28 0.19070  5.480
23 29 0.20300  4.993
24 30 0.21520  4.550
25 31 0.22740  4.146
26 32 0.23950  3.777
27 32 0.25130  3.442
28 32 0.26280  3.136
29 33 0.27400  2.857
30 34 0.28490  2.604
31 35 0.29570  2.372
32 36 0.30600  2.161
33 37 0.31630  1.969
34 37 0.32620  1.794
35 37 0.33580  1.635
36 37 0.34490  1.490
37 37 0.35360  1.357
38 37 0.36190  1.237
39 37 0.36970  1.127
40 37 0.37700  1.027
41 37 0.38400  0.936
42 37 0.39040  0.852
43 37 0.39640  0.777
44 37 0.40200  0.708
45 37 0.40720  0.645
46 37 0.41200  0.588
47 37 0.41640  0.535
48 37 0.42040  0.488
49 37 0.42400  0.444
50 37 0.42740  0.405
51 37 0.43040  0.369
52 37 0.43310  0.336
53 37 0.43560  0.306
54 37 0.43780  0.279
55 37 0.43980  0.254
56 37 0.44160  0.232
57 37 0.44320  0.211
58 37 0.44470  0.192
59 37 0.44590  0.175
60 37 0.44700  0.160
61 37 0.44800  0.146
62 37 0.44890  0.133
63 37 0.44970  0.121
64 37 0.45030  0.110
65 37 0.45090  0.100
66 37 0.45150  0.091
67 37 0.45190  0.083
68 37 0.45230  0.076
69 37 0.45260  0.069
70 37 0.45290  0.063
71 37 0.45320  0.057
72 37 0.45340  0.052
73 36 0.45360  0.048
74 36 0.45370  0.043
75 36 0.45390  0.040
76 35 0.45400  0.036
77 36 0.45410  0.033
78 37 0.45420  0.030
79 37 0.45420  0.027
80 37 0.45430  0.025
81 37 0.45440  0.023
82 37 0.45440  0.021
83 37 0.45450  0.019
84 37 0.45450  0.017
85 37 0.45450  0.016
86 37 0.45450  0.014
87 37 0.45460  0.013
88 37 0.45460  0.012
89 37 0.45460  0.011
90 37 0.45460  0.010
91 37 0.45460  0.009
92 37 0.45460  0.008
93 37 0.45460  0.007
94 37 0.45460  0.007
95 37 0.45460  0.006
