
Call:  glmnet(x = x, y = y, alpha = 0.6, family = "gaussian", standardize = TRUE) 

   Df    %Dev  Lambda
1   0 0.00000 1.28900
2   2 0.02031 1.17400
3   2 0.03934 1.07000
4   3 0.05617 0.97490
5   3 0.07055 0.88830
6   5 0.09089 0.80930
7   6 0.11310 0.73740
8   6 0.13620 0.67190
9   6 0.15590 0.61220
10  6 0.17260 0.55790
11  6 0.18670 0.50830
12  6 0.19870 0.46310
13  7 0.20950 0.42200
14 10 0.22390 0.38450
15 11 0.23710 0.35030
16 12 0.24840 0.31920
17 14 0.26130 0.29090
18 17 0.27730 0.26500
19 21 0.29480 0.24150
20 24 0.31160 0.22000
21 24 0.32680 0.20050
22 25 0.33990 0.18270
23 27 0.35130 0.16640
24 31 0.36200 0.15170
25 31 0.37170 0.13820
26 32 0.38060 0.12590
27 35 0.38980 0.11470
28 36 0.39820 0.10450
29 37 0.40650 0.09525
30 37 0.41420 0.08678
31 37 0.42070 0.07907
32 37 0.42620 0.07205
33 37 0.43080 0.06565
34 37 0.43470 0.05982
35 37 0.43800 0.05450
36 37 0.44070 0.04966
37 37 0.44300 0.04525
38 36 0.44490 0.04123
39 36 0.44650 0.03757
40 36 0.44790 0.03423
41 36 0.44900 0.03119
42 36 0.44990 0.02842
43 36 0.45070 0.02589
44 35 0.45140 0.02359
45 35 0.45190 0.02150
46 35 0.45230 0.01959
47 35 0.45270 0.01785
48 35 0.45300 0.01626
49 35 0.45330 0.01482
50 35 0.45350 0.01350
51 35 0.45370 0.01230
52 35 0.45380 0.01121
53 35 0.45390 0.01021
54 35 0.45400 0.00931
55 35 0.45410 0.00848
56 35 0.45420 0.00773
57 35 0.45430 0.00704
58 35 0.45430 0.00641
59 36 0.45440 0.00584
60 36 0.45440 0.00532
61 36 0.45440 0.00485
62 36 0.45450 0.00442
63 36 0.45450 0.00403
64 36 0.45450 0.00367
65 37 0.45450 0.00334
66 37 0.45460 0.00305
67 37 0.45460 0.00278
68 37 0.45460 0.00253
69 37 0.45460 0.00231
70 37 0.45460 0.00210
71 37 0.45460 0.00191
72 37 0.45460 0.00174
73 37 0.45460 0.00159
74 37 0.45460 0.00145
75 37 0.45460 0.00132
