
Call:  glmnet(x = x, y = y, alpha = 0.02, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1    0 0.00000 209.700
2    1 0.00352 191.100
3    2 0.00868 174.100
4    2 0.01365 158.600
5    3 0.01849 144.500
6    3 0.02291 131.700
7    3 0.02687 120.000
8    3 0.03037 109.300
9    3 0.03346  99.620
10   3 0.03617  90.770
11   3 0.03856  82.700
12   3 0.04064  75.360
13   3 0.04245  68.660
14   3 0.04403  62.560
15   3 0.04539  57.000
16   3 0.04656  51.940
17   3 0.04758  47.330
18   3 0.04845  43.120
19   4 0.04943  39.290
20   4 0.05031  35.800
21   5 0.05113  32.620
22   5 0.05215  29.720
23   5 0.05306  27.080
24   5 0.05386  24.680
25   5 0.05458  22.480
26   5 0.05521  20.490
27   5 0.05576  18.670
28   5 0.05626  17.010
29   5 0.05669  15.500
30   5 0.05707  14.120
31   5 0.05741  12.870
32   5 0.05770  11.720
33   6 0.05819  10.680
34   6 0.05884   9.733
35   6 0.05951   8.868
36   7 0.06032   8.080
37   7 0.06128   7.362
38   9 0.06264   6.708
39   9 0.06419   6.112
40   9 0.06581   5.569
41  10 0.06760   5.075
42  11 0.06958   4.624
43  11 0.07171   4.213
44  11 0.07392   3.839
45  12 0.07630   3.498
46  13 0.07886   3.187
47  13 0.08160   2.904
48  15 0.08454   2.646
49  16 0.08786   2.411
50  18 0.09142   2.197
51  19 0.09524   2.002
52  19 0.09925   1.824
53  20 0.10350   1.662
54  21 0.10790   1.514
55  24 0.11270   1.380
56  27 0.11770   1.257
57  28 0.12300   1.145
58  28 0.12850   1.044
59  29 0.13420   0.951
60  30 0.14020   0.866
61  30 0.14620   0.789
62  31 0.15250   0.719
63  31 0.15880   0.655
64  31 0.16530   0.597
65  31 0.17190   0.544
66  31 0.17850   0.496
67  31 0.18520   0.452
68  31 0.19190   0.412
69  31 0.19860   0.375
70  31 0.20520   0.342
71  31 0.21190   0.311
72  31 0.21850   0.284
73  31 0.22500   0.258
74  31 0.23130   0.236
75  31 0.23760   0.215
76  31 0.24360   0.196
77  31 0.24950   0.178
78  32 0.25520   0.162
79  32 0.26070   0.148
80  32 0.26600   0.135
81  32 0.27100   0.123
82  32 0.27580   0.112
83  32 0.28030   0.102
84  32 0.28460   0.093
85  32 0.28860   0.085
86  32 0.29230   0.077
87  32 0.29580   0.070
88  32 0.29900   0.064
89  32 0.30200   0.058
90  32 0.30470   0.053
91  32 0.30720   0.048
92  32 0.30950   0.044
93  33 0.31160   0.040
94  33 0.31350   0.037
95  33 0.31520   0.033
96  33 0.31670   0.030
97  33 0.31810   0.028
98  33 0.31930   0.025
99  33 0.32040   0.023
100 33 0.32130   0.021
