
Call:  glmnet(x = x, y = y, alpha = 0.25, family = "gaussian", standardize = TRUE) 

    Df    %Dev  Lambda
1    0 0.00000 1.71300
2    2 0.00492 1.56000
3    5 0.01409 1.42200
4    5 0.02547 1.29500
5    9 0.03776 1.18000
6   16 0.05496 1.07600
7   18 0.07420 0.98000
8   20 0.09191 0.89290
9   22 0.10770 0.81360
10  28 0.12410 0.74130
11  33 0.14170 0.67550
12  39 0.15990 0.61550
13  52 0.17880 0.56080
14  55 0.19730 0.51100
15  57 0.21390 0.46560
16  63 0.23080 0.42420
17  64 0.24670 0.38650
18  68 0.26130 0.35220
19  80 0.27580 0.32090
20  85 0.28910 0.29240
21  87 0.30180 0.26640
22  89 0.31400 0.24270
23  94 0.32520 0.22120
24  96 0.33490 0.20150
25  99 0.34380 0.18360
26 104 0.35320 0.16730
27 108 0.36210 0.15250
28 109 0.37020 0.13890
29 111 0.37770 0.12660
30 114 0.38470 0.11530
31 117 0.39100 0.10510
32 118 0.39650 0.09574
33 118 0.40120 0.08724
34 118 0.40530 0.07949
35 119 0.40890 0.07243
36 118 0.41190 0.06599
37 118 0.41450 0.06013
38 118 0.41670 0.05479
39 118 0.41860 0.04992
40 118 0.42020 0.04549
41 118 0.42160 0.04145
42 117 0.42270 0.03776
43 116 0.42370 0.03441
44 115 0.42450 0.03135
45 114 0.42520 0.02857
46 114 0.42580 0.02603
47 113 0.42630 0.02372
48 113 0.42670 0.02161
49 112 0.42700 0.01969
50 112 0.42730 0.01794
51 110 0.42750 0.01635
52 111 0.42770 0.01489
53 111 0.42790 0.01357
54 112 0.42810 0.01237
55 112 0.42820 0.01127
56 112 0.42830 0.01027
57 112 0.42840 0.00935
58 112 0.42850 0.00852
59 112 0.42860 0.00777
60 112 0.42860 0.00708
61 113 0.42870 0.00645
62 113 0.42870 0.00588
63 114 0.42870 0.00535
64 114 0.42880 0.00488
65 113 0.42880 0.00444
66 113 0.42880 0.00405
67 114 0.42880 0.00369
68 114 0.42880 0.00336
69 114 0.42890 0.00306
70 114 0.42890 0.00279
71 114 0.42890 0.00254
72 114 0.42890 0.00232
73 114 0.42890 0.00211
74 114 0.42890 0.00192
75 116 0.42890 0.00175
76 116 0.42890 0.00160
77 116 0.42890 0.00146
