
Call:  glmnet(x = x, y = y, alpha = 0.5, family = "gaussian", standardize = FALSE) 

    Df    %Dev Lambda
1    0 0.00000 7.1680
2    2 0.00296 6.5310
3    2 0.00838 5.9510
4    2 0.01290 5.4220
5    2 0.01666 4.9410
6    2 0.01979 4.5020
7    3 0.02243 4.1020
8    3 0.02720 3.7370
9    3 0.03116 3.4050
10   4 0.03490 3.1030
11   4 0.03815 2.8270
12   4 0.04085 2.5760
13   4 0.04310 2.3470
14   4 0.04497 2.1390
15   4 0.04652 1.9490
16   4 0.04782 1.7760
17   4 0.04889 1.6180
18   5 0.04996 1.4740
19   6 0.05126 1.3430
20   6 0.05253 1.2240
21   6 0.05359 1.1150
22   8 0.05486 1.0160
23   8 0.05647 0.9258
24   8 0.05781 0.8435
25   8 0.05892 0.7686
26   8 0.05985 0.7003
27   8 0.06062 0.6381
28   8 0.06127 0.5814
29   9 0.06190 0.5298
30   9 0.06272 0.4827
31   9 0.06340 0.4398
32   9 0.06397 0.4007
33  10 0.06615 0.3651
34  10 0.06975 0.3327
35  12 0.07441 0.3032
36  12 0.08212 0.2762
37  13 0.08918 0.2517
38  15 0.09654 0.2293
39  17 0.10450 0.2090
40  19 0.11190 0.1904
41  19 0.11980 0.1735
42  22 0.13020 0.1581
43  26 0.14070 0.1440
44  27 0.15010 0.1312
45  29 0.15940 0.1196
46  30 0.16950 0.1089
47  31 0.17830 0.0993
48  36 0.18790 0.0904
49  36 0.19770 0.0824
50  41 0.20890 0.0751
51  42 0.22100 0.0684
52  45 0.23190 0.0623
53  47 0.24280 0.0568
54  50 0.25320 0.0518
55  50 0.26240 0.0472
56  53 0.27130 0.0430
57  56 0.28020 0.0392
58  58 0.28980 0.0357
59  58 0.29850 0.0325
60  59 0.30640 0.0296
61  62 0.31500 0.0270
62  66 0.32330 0.0246
63  69 0.33200 0.0224
64  71 0.34020 0.0204
65  73 0.34780 0.0186
66  73 0.35490 0.0170
67  76 0.36170 0.0154
68  77 0.36840 0.0141
69  79 0.37440 0.0128
70  80 0.37990 0.0117
71  81 0.38490 0.0106
72  83 0.38950 0.0097
73  85 0.39370 0.0088
74  88 0.39780 0.0081
75  89 0.40170 0.0073
76  91 0.40510 0.0067
77  91 0.40820 0.0061
78  91 0.41090 0.0056
79  91 0.41330 0.0051
80  93 0.41540 0.0046
81  94 0.41730 0.0042
82  96 0.41890 0.0038
83  96 0.42030 0.0035
84  97 0.42160 0.0032
85  96 0.42270 0.0029
86  96 0.42360 0.0026
87  96 0.42440 0.0024
88  95 0.42500 0.0022
89  95 0.42560 0.0020
90  95 0.42610 0.0018
91  95 0.42650 0.0017
92  96 0.42690 0.0015
93  96 0.42720 0.0014
94  95 0.42750 0.0013
95  95 0.42770 0.0011
96  95 0.42790 0.0010
97  95 0.42800 0.0009
98  95 0.42820 0.0009
99  95 0.42830 0.0008
100 95 0.42840 0.0007
