
Call:  glmnet(x = x, y = y, alpha = 0.25, family = "gaussian", standardize = TRUE) 

   Df    %Dev  Lambda
1   0 0.00000 2.04000
2   2 0.00798 1.85900
3   3 0.02043 1.69400
4   4 0.03353 1.54300
5   4 0.04532 1.40600
6   7 0.05649 1.28100
7  10 0.06742 1.16700
8  13 0.08087 1.06400
9  14 0.09643 0.96930
10 17 0.11220 0.88320
11 19 0.12830 0.80470
12 23 0.14580 0.73320
13 27 0.16430 0.66810
14 30 0.18240 0.60870
15 32 0.20080 0.55470
16 33 0.21790 0.50540
17 35 0.23340 0.46050
18 39 0.24810 0.41960
19 45 0.26320 0.38230
20 47 0.27750 0.34830
21 49 0.29010 0.31740
22 51 0.30140 0.28920
23 52 0.31170 0.26350
24 54 0.32130 0.24010
25 56 0.33100 0.21880
26 58 0.34020 0.19930
27 58 0.34820 0.18160
28 59 0.35520 0.16550
29 61 0.36150 0.15080
30 66 0.36800 0.13740
31 66 0.37400 0.12520
32 69 0.37930 0.11410
33 71 0.38450 0.10390
34 72 0.38890 0.09470
35 73 0.39280 0.08629
36 73 0.39620 0.07862
37 73 0.39900 0.07164
38 73 0.40150 0.06527
39 73 0.40360 0.05947
40 73 0.40530 0.05419
41 72 0.40680 0.04938
42 72 0.40810 0.04499
43 72 0.40910 0.04099
44 71 0.41010 0.03735
45 71 0.41080 0.03403
46 71 0.41140 0.03101
47 71 0.41200 0.02825
48 70 0.41240 0.02574
49 70 0.41280 0.02346
50 70 0.41310 0.02137
51 70 0.41340 0.01947
52 70 0.41360 0.01774
53 70 0.41380 0.01617
54 69 0.41400 0.01473
55 70 0.41410 0.01342
56 70 0.41420 0.01223
57 70 0.41430 0.01114
58 70 0.41440 0.01015
59 70 0.41450 0.00925
60 70 0.41450 0.00843
61 70 0.41460 0.00768
62 70 0.41460 0.00700
63 69 0.41470 0.00638
64 69 0.41470 0.00581
65 69 0.41470 0.00529
66 70 0.41470 0.00482
67 70 0.41470 0.00440
68 70 0.41480 0.00400
69 70 0.41480 0.00365
70 70 0.41480 0.00332
71 70 0.41480 0.00303
72 70 0.41480 0.00276
73 70 0.41480 0.00252
74 71 0.41480 0.00229
75 71 0.41480 0.00209
76 71 0.41480 0.00190
77 71 0.41480 0.00173
