
Call:  glmnet(x = x, y = y, alpha = 0.5, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1    0 0.00000 11.3100
2    1 0.00648 10.3000
3    1 0.01188  9.3860
4    1 0.01638  8.5520
5    1 0.02012  7.7930
6    1 0.02324  7.1000
7    1 0.02584  6.4700
8    1 0.02800  5.8950
9    1 0.02980  5.3710
10   1 0.03129  4.8940
11   1 0.03254  4.4590
12   2 0.03487  4.0630
13   3 0.03860  3.7020
14   3 0.04319  3.3730
15   3 0.04702  3.0740
16   3 0.05021  2.8010
17   3 0.05287  2.5520
18   3 0.05508  2.3250
19   3 0.05693  2.1180
20   4 0.05856  1.9300
21   4 0.06082  1.7590
22   5 0.06356  1.6030
23   5 0.06617  1.4600
24   5 0.06835  1.3300
25   5 0.07016  1.2120
26   5 0.07167  1.1050
27   5 0.07293  1.0060
28   5 0.07398  0.9170
29   5 0.07485  0.8356
30   5 0.07558  0.7613
31   5 0.07619  0.6937
32   5 0.07669  0.6321
33   6 0.07714  0.5759
34   6 0.07758  0.5248
35   7 0.07811  0.4781
36   7 0.07897  0.4357
37   8 0.08225  0.3970
38   8 0.08888  0.3617
39   9 0.09493  0.3296
40   9 0.10040  0.3003
41  11 0.10750  0.2736
42  12 0.11440  0.2493
43  12 0.12360  0.2272
44  14 0.13240  0.2070
45  16 0.14090  0.1886
46  16 0.14890  0.1718
47  16 0.15580  0.1566
48  17 0.16240  0.1427
49  18 0.17180  0.1300
50  20 0.18170  0.1184
51  22 0.19240  0.1079
52  24 0.20230  0.0983
53  24 0.21270  0.0896
54  25 0.22210  0.0816
55  27 0.23190  0.0744
56  27 0.24070  0.0678
57  29 0.24910  0.0618
58  30 0.25720  0.0563
59  35 0.26570  0.0513
60  36 0.27410  0.0467
61  39 0.28260  0.0426
62  43 0.29210  0.0388
63  46 0.30200  0.0353
64  49 0.31120  0.0322
65  51 0.32010  0.0293
66  54 0.32870  0.0267
67  54 0.33670  0.0244
68  58 0.34440  0.0222
69  61 0.35200  0.0202
70  62 0.35910  0.0184
71  63 0.36560  0.0168
72  63 0.37130  0.0153
73  62 0.37640  0.0139
74  64 0.38090  0.0127
75  66 0.38510  0.0116
76  66 0.38910  0.0105
77  66 0.39250  0.0096
78  66 0.39560  0.0088
79  65 0.39820  0.0080
80  66 0.40050  0.0073
81  66 0.40240  0.0066
82  69 0.40420  0.0060
83  70 0.40580  0.0055
84  70 0.40710  0.0050
85  70 0.40820  0.0046
86  70 0.40920  0.0042
87  70 0.41010  0.0038
88  70 0.41080  0.0035
89  70 0.41140  0.0031
90  70 0.41190  0.0029
91  68 0.41240  0.0026
92  68 0.41280  0.0024
93  68 0.41310  0.0022
94  68 0.41330  0.0020
95  69 0.41360  0.0018
96  69 0.41380  0.0016
97  69 0.41390  0.0015
98  70 0.41410  0.0014
99  71 0.41420  0.0012
100 72 0.41430  0.0011
