
Call:  glmnet(x = x, y = y, alpha = 0.7, family = "gaussian", standardize = FALSE) 

    Df    %Dev Lambda
1    0 0.00000 8.0760
2    1 0.00653 7.3580
3    1 0.01196 6.7040
4    1 0.01647 6.1090
5    1 0.02022 5.5660
6    1 0.02334 5.0720
7    1 0.02593 4.6210
8    1 0.02809 4.2110
9    1 0.02988 3.8370
10   1 0.03136 3.4960
11   1 0.03260 3.1850
12   2 0.03491 2.9020
13   3 0.03864 2.6440
14   3 0.04326 2.4090
15   3 0.04711 2.1950
16   3 0.05031 2.0000
17   3 0.05296 1.8230
18   3 0.05517 1.6610
19   3 0.05701 1.5130
20   4 0.05864 1.3790
21   4 0.06089 1.2560
22   5 0.06364 1.1450
23   5 0.06626 1.0430
24   5 0.06844 0.9503
25   5 0.07025 0.8659
26   5 0.07175 0.7890
27   5 0.07301 0.7189
28   5 0.07405 0.6550
29   5 0.07492 0.5968
30   5 0.07564 0.5438
31   5 0.07624 0.4955
32   5 0.07673 0.4515
33   6 0.07718 0.4114
34   6 0.07761 0.3748
35   7 0.07812 0.3415
36   7 0.07899 0.3112
37   8 0.08294 0.2835
38   8 0.09089 0.2584
39   9 0.09784 0.2354
40   9 0.10390 0.2145
41  11 0.11160 0.1954
42  12 0.11930 0.1781
43  12 0.12910 0.1623
44  14 0.13820 0.1478
45  15 0.14650 0.1347
46  15 0.15420 0.1227
47  15 0.16080 0.1118
48  17 0.16940 0.1019
49  18 0.17870 0.0928
50  20 0.18870 0.0846
51  22 0.19920 0.0771
52  24 0.20920 0.0702
53  24 0.21970 0.0640
54  26 0.22920 0.0583
55  27 0.23890 0.0531
56  28 0.24760 0.0484
57  29 0.25580 0.0441
58  31 0.26370 0.0402
59  33 0.27220 0.0366
60  36 0.28050 0.0334
61  39 0.28920 0.0304
62  42 0.29940 0.0277
63  46 0.30960 0.0252
64  50 0.31930 0.0230
65  52 0.32850 0.0210
66  53 0.33740 0.0191
67  56 0.34550 0.0174
68  58 0.35360 0.0158
69  60 0.36130 0.0144
70  61 0.36800 0.0132
71  63 0.37400 0.0120
72  64 0.37910 0.0109
73  65 0.38390 0.0100
74  64 0.38800 0.0091
75  66 0.39170 0.0083
76  66 0.39520 0.0075
77  66 0.39810 0.0069
78  66 0.40060 0.0063
79  67 0.40270 0.0057
80  66 0.40450 0.0052
81  67 0.40600 0.0047
82  68 0.40740 0.0043
83  69 0.40860 0.0039
84  70 0.40960 0.0036
85  70 0.41040 0.0033
86  70 0.41110 0.0030
87  70 0.41170 0.0027
88  70 0.41220 0.0025
89  69 0.41260 0.0022
90  69 0.41300 0.0020
91  69 0.41330 0.0019
92  69 0.41350 0.0017
93  68 0.41370 0.0015
94  68 0.41390 0.0014
95  69 0.41400 0.0013
96  69 0.41420 0.0012
97  69 0.41430 0.0011
98  70 0.41430 0.0010
99  71 0.41440 0.0009
100 72 0.41450 0.0008
