
Call:  glmnet(x = x, y = y, alpha = 0.04, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1    0 0.00000 186.600
2    1 0.00583 170.000
3    1 0.01097 154.900
4    1 0.01547 141.200
5    1 0.01939 128.600
6    1 0.02281 117.200
7    1 0.02577 106.800
8    1 0.02833  97.300
9    2 0.03110  88.660
10   2 0.03571  80.780
11   2 0.03984  73.600
12   2 0.04351  67.060
13   2 0.04679  61.110
14   2 0.04969  55.680
15   2 0.05227  50.730
16   2 0.05455  46.220
17   2 0.05657  42.120
18   2 0.05834  38.380
19   2 0.05989  34.970
20   3 0.06126  31.860
21   3 0.06259  29.030
22   3 0.06370  26.450
23   4 0.06477  24.100
24   5 0.06612  21.960
25   5 0.06741  20.010
26   5 0.06853  18.230
27   5 0.06954  16.610
28   5 0.07042  15.140
29   5 0.07121  13.790
30   4 0.07189  12.570
31   4 0.07247  11.450
32   4 0.07298  10.430
33   4 0.07342   9.506
34   4 0.07381   8.662
35   4 0.07414   7.892
36   5 0.07477   7.191
37   5 0.07537   6.552
38   5 0.07590   5.970
39   5 0.07637   5.440
40   5 0.07679   4.957
41   6 0.07763   4.516
42   8 0.07903   4.115
43   8 0.08087   3.749
44   8 0.08276   3.416
45   9 0.08502   3.113
46   9 0.08750   2.836
47  10 0.09016   2.584
48  10 0.09312   2.355
49  12 0.09660   2.146
50  12 0.10020   1.955
51  14 0.10410   1.781
52  14 0.10840   1.623
53  17 0.11300   1.479
54  20 0.11840   1.347
55  22 0.12440   1.228
56  23 0.13060   1.119
57  24 0.13700   1.019
58  25 0.14370   0.929
59  25 0.15060   0.846
60  27 0.15760   0.771
61  29 0.16480   0.703
62  30 0.17220   0.640
63  33 0.17980   0.583
64  36 0.18760   0.532
65  37 0.19560   0.484
66  38 0.20350   0.441
67  38 0.21140   0.402
68  39 0.21930   0.366
69  41 0.22720   0.334
70  42 0.23500   0.304
71  43 0.24270   0.277
72  43 0.25030   0.252
73  44 0.25760   0.230
74  45 0.26490   0.210
75  45 0.27180   0.191
76  48 0.27860   0.174
77  48 0.28510   0.159
78  48 0.29140   0.144
79  48 0.29740   0.132
80  48 0.30310   0.120
81  48 0.30850   0.109
82  48 0.31370   0.100
83  48 0.31860   0.091
84  48 0.32320   0.083
85  48 0.32750   0.075
86  48 0.33160   0.069
87  47 0.33540   0.063
88  48 0.33900   0.057
89  48 0.34230   0.052
90  48 0.34540   0.047
91  48 0.34830   0.043
92  48 0.35100   0.039
93  48 0.35350   0.036
94  48 0.35580   0.033
95  48 0.35790   0.030
96  48 0.35990   0.027
97  48 0.36170   0.025
98  48 0.36330   0.022
99  48 0.36480   0.020
100 48 0.36620   0.019
