
Call:  glmnet(x = x, y = y, alpha = 0.75, family = "gaussian", standardize = TRUE) 

   Df    %Dev  Lambda
1   0 0.00000 0.72910
2   2 0.01099 0.66440
3   3 0.02592 0.60540
4   3 0.04179 0.55160
5   5 0.05567 0.50260
6   6 0.07095 0.45790
7   7 0.08640 0.41720
8   8 0.09998 0.38020
9   9 0.11390 0.34640
10  9 0.12670 0.31560
11 11 0.14020 0.28760
12 14 0.15650 0.26200
13 14 0.17350 0.23880
14 17 0.18900 0.21760
15 19 0.20490 0.19820
16 21 0.21940 0.18060
17 22 0.23210 0.16460
18 26 0.24350 0.15000
19 29 0.25520 0.13660
20 32 0.26590 0.12450
21 33 0.27590 0.11340
22 36 0.28520 0.10340
23 37 0.29560 0.09417
24 40 0.30460 0.08581
25 41 0.31410 0.07818
26 43 0.32280 0.07124
27 46 0.33100 0.06491
28 48 0.33840 0.05914
29 48 0.34470 0.05389
30 48 0.35000 0.04910
31 48 0.35440 0.04474
32 48 0.35810 0.04077
33 48 0.36120 0.03714
34 48 0.36380 0.03384
35 48 0.36590 0.03084
36 48 0.36770 0.02810
37 48 0.36920 0.02560
38 48 0.37040 0.02333
39 48 0.37140 0.02126
40 48 0.37230 0.01937
41 48 0.37300 0.01765
42 47 0.37360 0.01608
43 47 0.37410 0.01465
44 47 0.37450 0.01335
45 47 0.37480 0.01216
46 47 0.37510 0.01108
47 47 0.37530 0.01010
48 47 0.37550 0.00920
49 47 0.37570 0.00838
50 47 0.37580 0.00764
51 47 0.37600 0.00696
52 47 0.37600 0.00634
53 47 0.37610 0.00578
54 47 0.37620 0.00526
55 48 0.37620 0.00480
56 48 0.37630 0.00437
57 48 0.37630 0.00398
58 47 0.37640 0.00363
59 47 0.37640 0.00331
60 47 0.37640 0.00301
61 47 0.37650 0.00274
62 47 0.37650 0.00250
63 47 0.37650 0.00228
64 47 0.37650 0.00208
65 47 0.37650 0.00189
66 48 0.37650 0.00172
67 48 0.37650 0.00157
68 48 0.37650 0.00143
69 48 0.37650 0.00130
70 48 0.37650 0.00119
71 48 0.37650 0.00108
72 48 0.37660 0.00099
73 48 0.37660 0.00090
