
Call:  glmnet(x = x, y = y, alpha = 0.05, family = "gaussian", standardize = TRUE) 

    Df    %Dev Lambda
1    0 0.00000 7.7460
2    1 0.00151 7.0580
3    2 0.00312 6.4310
4    5 0.00737 5.8590
5   11 0.01500 5.3390
6   12 0.02397 4.8650
7   16 0.03363 4.4320
8   27 0.04507 4.0390
9   33 0.05746 3.6800
10  38 0.07072 3.3530
11  46 0.08473 3.0550
12  52 0.10020 2.7840
13  58 0.11600 2.5360
14  62 0.13260 2.3110
15  70 0.14960 2.1060
16  71 0.16600 1.9190
17  75 0.18170 1.7480
18  84 0.19780 1.5930
19  91 0.21370 1.4510
20 101 0.22940 1.3220
21 108 0.24520 1.2050
22 111 0.26030 1.0980
23 112 0.27450 1.0000
24 119 0.28820 0.9115
25 123 0.30110 0.8306
26 123 0.31330 0.7568
27 128 0.32470 0.6896
28 134 0.33600 0.6283
29 138 0.34650 0.5725
30 147 0.35640 0.5216
31 149 0.36600 0.4753
32 150 0.37490 0.4331
33 154 0.38320 0.3946
34 155 0.39100 0.3595
35 155 0.39830 0.3276
36 158 0.40510 0.2985
37 158 0.41150 0.2720
38 160 0.41750 0.2478
39 160 0.42300 0.2258
40 160 0.42800 0.2057
41 160 0.43260 0.1875
42 160 0.43680 0.1708
43 160 0.44060 0.1556
44 160 0.44400 0.1418
45 159 0.44710 0.1292
46 159 0.44980 0.1177
47 159 0.45230 0.1073
48 159 0.45450 0.0977
49 159 0.45640 0.0891
50 159 0.45810 0.0812
51 156 0.45960 0.0739
52 155 0.46080 0.0674
53 156 0.46190 0.0614
54 155 0.46290 0.0559
55 155 0.46390 0.0510
56 154 0.46460 0.0464
57 153 0.46530 0.0423
58 152 0.46590 0.0386
59 153 0.46640 0.0351
60 154 0.46680 0.0320
61 152 0.46720 0.0292
62 152 0.46760 0.0266
63 152 0.46790 0.0242
64 152 0.46810 0.0221
65 151 0.46830 0.0201
66 151 0.46850 0.0183
67 151 0.46860 0.0167
68 153 0.46870 0.0152
69 156 0.46890 0.0138
70 158 0.46890 0.0126
71 158 0.46900 0.0115
72 158 0.46910 0.0105
73 158 0.46920 0.0095
74 157 0.46920 0.0087
75 156 0.46930 0.0079
76 157 0.46930 0.0072
77 157 0.46930 0.0066
78 157 0.46940 0.0060
79 158 0.46940 0.0055
80 159 0.46940 0.0050
81 159 0.46940 0.0045
82 158 0.46950 0.0041
83 158 0.46950 0.0038
84 157 0.46950 0.0034
85 159 0.46950 0.0031
86 159 0.46950 0.0028
87 160 0.46950 0.0026
88 160 0.46950 0.0024
89 160 0.46950 0.0022
90 160 0.46950 0.0020
91 160 0.46950 0.0018
92 160 0.46960 0.0016
93 160 0.46960 0.0015
94 160 0.46960 0.0014
