
Call:  glmnet(x = x, y = y, alpha = 0.65, family = "gaussian", standardize = TRUE) 

    Df    %Dev  Lambda
1    0 0.00000 0.59580
2    1 0.00578 0.54290
3    2 0.01095 0.49470
4    4 0.02307 0.45070
5    7 0.03790 0.41070
6    8 0.05145 0.37420
7   10 0.06442 0.34100
8   13 0.07801 0.31070
9   17 0.09451 0.28310
10  23 0.11620 0.25790
11  29 0.13750 0.23500
12  36 0.15850 0.21410
13  39 0.17970 0.19510
14  43 0.20170 0.17780
15  48 0.22380 0.16200
16  53 0.24520 0.14760
17  56 0.26520 0.13450
18  59 0.28300 0.12250
19  66 0.30020 0.11160
20  72 0.31590 0.10170
21  82 0.33040 0.09269
22  86 0.34410 0.08446
23  98 0.35740 0.07696
24 104 0.37000 0.07012
25 112 0.38160 0.06389
26 117 0.39200 0.05821
27 122 0.40120 0.05304
28 127 0.40910 0.04833
29 134 0.41580 0.04404
30 141 0.42340 0.04012
31 152 0.42990 0.03656
32 158 0.43630 0.03331
33 160 0.44170 0.03035
34 160 0.44630 0.02766
35 160 0.45000 0.02520
36 157 0.45310 0.02296
37 156 0.45560 0.02092
38 154 0.45770 0.01906
39 153 0.45940 0.01737
40 152 0.46080 0.01583
41 151 0.46200 0.01442
42 152 0.46310 0.01314
43 150 0.46410 0.01197
44 149 0.46490 0.01091
45 149 0.46570 0.00994
46 149 0.46630 0.00906
47 147 0.46670 0.00825
48 146 0.46720 0.00752
49 147 0.46750 0.00685
50 146 0.46780 0.00624
51 146 0.46810 0.00569
52 145 0.46830 0.00518
53 145 0.46850 0.00472
54 145 0.46860 0.00430
55 145 0.46880 0.00392
56 145 0.46890 0.00357
57 145 0.46900 0.00326
58 146 0.46900 0.00296
59 146 0.46910 0.00270
60 146 0.46920 0.00246
61 146 0.46920 0.00224
62 147 0.46920 0.00204
63 147 0.46930 0.00186
64 148 0.46930 0.00170
65 148 0.46930 0.00155
66 150 0.46930 0.00141
67 151 0.46940 0.00128
68 153 0.46940 0.00117
69 153 0.46940 0.00107
70 153 0.46940 0.00097
71 152 0.46940 0.00088
72 154 0.46940 0.00081
73 153 0.46940 0.00073
74 152 0.46950 0.00067
75 152 0.46950 0.00061
76 152 0.46950 0.00056
77 153 0.46950 0.00051
78 153 0.46950 0.00046
79 155 0.46950 0.00042
80 157 0.46950 0.00038
81 157 0.46950 0.00035
