
Call:  glmnet(x = x, y = y, alpha = 0.1, family = "gaussian", standardize = TRUE) 

    Df    %Dev Lambda
1    0 0.00000 4.4580
2    1 0.00283 4.0620
3    2 0.00671 3.7010
4    3 0.01305 3.3720
5    4 0.01967 3.0730
6    7 0.02940 2.8000
7   10 0.04078 2.5510
8   12 0.05401 2.3240
9   13 0.06715 2.1180
10  17 0.08117 1.9300
11  20 0.09477 1.7580
12  27 0.10870 1.6020
13  38 0.12340 1.4600
14  44 0.14120 1.3300
15  51 0.15900 1.2120
16  55 0.17560 1.1040
17  61 0.19280 1.0060
18  68 0.20950 0.9167
19  82 0.22710 0.8353
20  91 0.24480 0.7611
21 110 0.26180 0.6935
22 122 0.27810 0.6319
23 132 0.29420 0.5757
24 151 0.30960 0.5246
25 158 0.32440 0.4780
26 167 0.33800 0.4355
27 172 0.35060 0.3968
28 181 0.36260 0.3616
29 192 0.37370 0.3295
30 202 0.38480 0.3002
31 208 0.39530 0.2735
32 215 0.40490 0.2492
33 220 0.41390 0.2271
34 230 0.42200 0.2069
35 235 0.42920 0.1885
36 238 0.43560 0.1718
37 245 0.44130 0.1565
38 252 0.44650 0.1426
39 255 0.45130 0.1299
40 258 0.45570 0.1184
41 267 0.45970 0.1079
42 267 0.46320 0.0983
43 270 0.46660 0.0896
44 274 0.46970 0.0816
45 277 0.47260 0.0744
46 278 0.47520 0.0678
47 279 0.47770 0.0617
48 280 0.47990 0.0562
49 281 0.48190 0.0512
50 282 0.48360 0.0467
51 280 0.48520 0.0426
52 279 0.48650 0.0388
53 279 0.48770 0.0353
54 279 0.48870 0.0322
55 279 0.48960 0.0293
56 278 0.49040 0.0267
57 276 0.49100 0.0244
58 272 0.49160 0.0222
59 270 0.49210 0.0202
60 269 0.49250 0.0184
61 267 0.49290 0.0168
62 265 0.49320 0.0153
63 265 0.49340 0.0139
64 265 0.49370 0.0127
65 263 0.49390 0.0116
66 263 0.49400 0.0105
67 263 0.49410 0.0096
68 262 0.49430 0.0088
69 262 0.49440 0.0080
70 262 0.49440 0.0073
71 261 0.49450 0.0066
72 263 0.49460 0.0060
73 263 0.49460 0.0055
74 267 0.49470 0.0050
75 267 0.49470 0.0046
76 267 0.49470 0.0042
77 269 0.49480 0.0038
78 271 0.49480 0.0035
79 275 0.49480 0.0031
80 278 0.49480 0.0029
81 278 0.49480 0.0026
82 280 0.49490 0.0024
83 282 0.49490 0.0022
84 283 0.49490 0.0020
85 282 0.49490 0.0018
86 282 0.49490 0.0016
87 282 0.49490 0.0015
88 283 0.49490 0.0014
89 283 0.49490 0.0012
90 283 0.49490 0.0011
