
Call:  glmnet(x = x, y = y, alpha = 0.01, family = "gaussian", standardize = TRUE) 

    Df    %Dev Lambda
1    0 0.00000 46.540
2    1 0.00041 42.410
3    1 0.00084 38.640
4    1 0.00132 35.210
5    2 0.00191 32.080
6    3 0.00302 29.230
7    6 0.00463 26.630
8   14 0.00743 24.270
9   21 0.01142 22.110
10  27 0.01638 20.150
11  33 0.02260 18.360
12  38 0.02941 16.730
13  42 0.03698 15.240
14  49 0.04507 13.890
15  56 0.05393 12.650
16  57 0.06312 11.530
17  59 0.07255 10.510
18  61 0.08222  9.572
19  62 0.09208  8.722
20  64 0.10220  7.947
21  65 0.11230  7.241
22  69 0.12270  6.598
23  72 0.13310  6.011
24  74 0.14380  5.477
25  76 0.15450  4.991
26  79 0.16540  4.547
27  79 0.17640  4.143
28  79 0.18720  3.775
29  79 0.19810  3.440
30  81 0.20890  3.134
31  81 0.21960  2.856
32  81 0.23020  2.602
33  82 0.24070  2.371
34  82 0.25110  2.160
35  83 0.26130  1.968
36  82 0.27130  1.794
37  84 0.28110  1.634
38  85 0.29090  1.489
39  85 0.30040  1.357
40  86 0.30980  1.236
41  85 0.31890  1.126
42  87 0.32770  1.026
43  87 0.33620  0.935
44  87 0.34450  0.852
45  88 0.35230  0.776
46  89 0.35990  0.707
47  90 0.36720  0.645
48  91 0.37420  0.587
49  91 0.38080  0.535
50  91 0.38700  0.488
51  91 0.39290  0.444
52  91 0.39840  0.405
53  91 0.40350  0.369
54  91 0.40820  0.336
55  91 0.41270  0.306
56  91 0.41670  0.279
57  89 0.42050  0.254
58  89 0.42380  0.232
59  90 0.42690  0.211
60  89 0.42980  0.192
61  89 0.43230  0.175
62  89 0.43460  0.160
63  89 0.43670  0.146
64  89 0.43860  0.133
65  89 0.44020  0.121
66  89 0.44170  0.110
67  90 0.44300  0.100
68  90 0.44410  0.091
69  90 0.44510  0.083
70  90 0.44600  0.076
71  91 0.44680  0.069
72  91 0.44740  0.063
73  91 0.44800  0.057
74  91 0.44850  0.052
75  91 0.44900  0.048
76  91 0.44930  0.043
77  91 0.44970  0.040
78  89 0.45000  0.036
79  89 0.45020  0.033
80  90 0.45040  0.030
81  90 0.45060  0.027
82  90 0.45070  0.025
83  89 0.45080  0.023
84  90 0.45090  0.021
85  90 0.45100  0.019
86  90 0.45110  0.017
87  90 0.45120  0.016
88  90 0.45120  0.014
89  91 0.45130  0.013
90  91 0.45130  0.012
91  91 0.45140  0.011
92  90 0.45140  0.010
93  91 0.45140  0.009
94  91 0.45140  0.008
95  91 0.45150  0.007
96  91 0.45150  0.007
97  91 0.45150  0.006
98  91 0.45150  0.006
99  91 0.45150  0.005
100 91 0.45150  0.005
