
Call:  glmnet(x = x, y = y, alpha = 0.7, family = "gaussian", standardize = TRUE) 

   Df    %Dev  Lambda
1   0 0.00000 0.66490
2   1 0.00739 0.60580
3   1 0.01367 0.55200
4   1 0.01898 0.50300
5   3 0.02657 0.45830
6   3 0.03904 0.41760
7   5 0.05339 0.38050
8   9 0.06998 0.34670
9  15 0.09053 0.31590
10 19 0.11430 0.28780
11 21 0.13660 0.26230
12 25 0.15880 0.23900
13 28 0.18090 0.21770
14 30 0.20090 0.19840
15 32 0.21810 0.18080
16 36 0.23470 0.16470
17 40 0.25110 0.15010
18 43 0.26680 0.13670
19 44 0.28030 0.12460
20 48 0.29410 0.11350
21 51 0.30650 0.10340
22 57 0.31950 0.09425
23 61 0.33430 0.08588
24 62 0.34840 0.07825
25 66 0.36040 0.07130
26 71 0.37130 0.06496
27 71 0.38140 0.05919
28 73 0.39010 0.05393
29 75 0.39780 0.04914
30 78 0.40480 0.04478
31 81 0.41130 0.04080
32 83 0.41700 0.03717
33 86 0.42210 0.03387
34 87 0.42660 0.03086
35 87 0.43040 0.02812
36 87 0.43360 0.02562
37 88 0.43630 0.02335
38 91 0.43870 0.02127
39 91 0.44080 0.01938
40 91 0.44260 0.01766
41 87 0.44410 0.01609
42 87 0.44530 0.01466
43 87 0.44630 0.01336
44 85 0.44710 0.01217
45 84 0.44780 0.01109
46 83 0.44840 0.01011
47 83 0.44890 0.00921
48 83 0.44930 0.00839
49 83 0.44960 0.00764
50 83 0.44990 0.00697
51 83 0.45020 0.00635
52 84 0.45040 0.00578
53 84 0.45060 0.00527
54 84 0.45070 0.00480
55 84 0.45080 0.00438
56 84 0.45100 0.00399
57 84 0.45100 0.00363
58 84 0.45110 0.00331
59 84 0.45120 0.00302
60 84 0.45120 0.00275
61 85 0.45130 0.00250
62 85 0.45130 0.00228
63 86 0.45130 0.00208
64 86 0.45140 0.00189
65 86 0.45140 0.00172
66 86 0.45140 0.00157
67 86 0.45140 0.00143
68 87 0.45140 0.00130
69 87 0.45150 0.00119
70 87 0.45150 0.00108
71 87 0.45150 0.00099
72 89 0.45150 0.00090
73 89 0.45150 0.00082
74 90 0.45150 0.00075
75 90 0.45150 0.00068
76 90 0.45150 0.00062
77 89 0.45150 0.00056
78 89 0.45150 0.00051
79 89 0.45150 0.00047
