
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = TRUE) 

   Df    %Dev  Lambda
1   0 0.00000 0.46540
2   1 0.00799 0.42410
3   1 0.01462 0.38640
4   1 0.02013 0.35210
5   3 0.02816 0.32080
6   3 0.04117 0.29230
7   5 0.05592 0.26630
8   9 0.07313 0.24270
9  14 0.09419 0.22110
10 18 0.11910 0.20150
11 22 0.14140 0.18360
12 25 0.16430 0.16730
13 27 0.18630 0.15240
14 29 0.20600 0.13890
15 32 0.22280 0.12650
16 35 0.23840 0.11530
17 40 0.25470 0.10510
18 41 0.27010 0.09572
19 43 0.28330 0.08722
20 48 0.29710 0.07947
21 52 0.30940 0.07241
22 57 0.32270 0.06598
23 61 0.33780 0.06011
24 63 0.35190 0.05477
25 64 0.36380 0.04991
26 69 0.37470 0.04547
27 72 0.38450 0.04143
28 72 0.39290 0.03775
29 75 0.40030 0.03440
30 77 0.40700 0.03134
31 80 0.41330 0.02856
32 82 0.41890 0.02602
33 86 0.42380 0.02371
34 87 0.42820 0.02160
35 87 0.43180 0.01968
36 88 0.43480 0.01794
37 89 0.43740 0.01634
38 90 0.43970 0.01489
39 90 0.44170 0.01357
40 88 0.44330 0.01236
41 87 0.44470 0.01126
42 87 0.44580 0.01026
43 85 0.44680 0.00935
44 83 0.44750 0.00852
45 83 0.44820 0.00776
46 83 0.44870 0.00707
47 83 0.44910 0.00645
48 83 0.44950 0.00587
49 83 0.44980 0.00535
50 83 0.45010 0.00488
51 84 0.45030 0.00444
52 84 0.45050 0.00405
53 84 0.45070 0.00369
54 84 0.45080 0.00336
55 84 0.45090 0.00306
56 84 0.45100 0.00279
57 84 0.45110 0.00254
58 84 0.45120 0.00232
59 84 0.45120 0.00211
60 84 0.45130 0.00192
61 85 0.45130 0.00175
62 85 0.45130 0.00160
63 86 0.45140 0.00146
64 86 0.45140 0.00133
65 86 0.45140 0.00121
66 86 0.45140 0.00110
67 86 0.45140 0.00100
68 87 0.45150 0.00091
69 87 0.45150 0.00083
70 87 0.45150 0.00076
71 87 0.45150 0.00069
72 89 0.45150 0.00063
73 89 0.45150 0.00057
74 90 0.45150 0.00052
75 90 0.45150 0.00048
76 90 0.45150 0.00043
77 89 0.45150 0.00040
78 89 0.45150 0.00036
