
Call:  glmnet(x = x, y = y, alpha = 0.05, family = "gaussian", standardize = FALSE) 

     Df    %Dev Lambda
1     0 0.00000 58.630
2     1 0.00428 53.420
3     1 0.00817 48.680
4     2 0.01208 44.350
5     2 0.01621 40.410
6     2 0.01982 36.820
7     2 0.02297 33.550
8     2 0.02570 30.570
9     2 0.02807 27.860
10    2 0.03012 25.380
11    2 0.03188 23.130
12    3 0.03378 21.070
13    3 0.03580 19.200
14    3 0.03754 17.490
15    4 0.03926 15.940
16    6 0.04143 14.520
17    8 0.04414 13.230
18    9 0.04688 12.060
19    9 0.04939 10.990
20   10 0.05169 10.010
21   10 0.05371  9.121
22   10 0.05548  8.311
23   10 0.05701  7.573
24   11 0.05841  6.900
25   11 0.05965  6.287
26   11 0.06072  5.728
27   11 0.06165  5.220
28   12 0.06246  4.756
29   12 0.06317  4.333
30   14 0.06416  3.948
31   14 0.06523  3.598
32   16 0.06648  3.278
33   18 0.06883  2.987
34   20 0.07198  2.721
35   20 0.07543  2.480
36   20 0.07895  2.259
37   22 0.08266  2.059
38   23 0.08678  1.876
39   23 0.09135  1.709
40   23 0.09597  1.557
41   25 0.10100  1.419
42   26 0.10660  1.293
43   28 0.11250  1.178
44   32 0.11890  1.073
45   35 0.12580  0.978
46   37 0.13320  0.891
47   39 0.14080  0.812
48   39 0.14860  0.740
49   43 0.15660  0.674
50   46 0.16470  0.614
51   50 0.17300  0.560
52   50 0.18150  0.510
53   55 0.19010  0.465
54   57 0.19880  0.423
55   60 0.20750  0.386
56   61 0.21620  0.352
57   61 0.22480  0.320
58   64 0.23330  0.292
59   64 0.24170  0.266
60   68 0.25010  0.242
61   68 0.25830  0.221
62   75 0.26640  0.201
63   77 0.27450  0.183
64   81 0.28250  0.167
65   81 0.29050  0.152
66   82 0.29830  0.139
67   82 0.30600  0.126
68   82 0.31350  0.115
69   84 0.32080  0.105
70   85 0.32800  0.096
71   89 0.33510  0.087
72   90 0.34200  0.079
73   91 0.34890  0.072
74   94 0.35550  0.066
75   97 0.36220  0.060
76   97 0.36880  0.055
77   97 0.37530  0.050
78   96 0.38170  0.045
79   95 0.38800  0.041
80   97 0.39420  0.038
81   98 0.40030  0.034
82   99 0.40630  0.031
83  100 0.41210  0.029
84  101 0.41790  0.026
85  102 0.42360  0.024
86  105 0.42920  0.022
87  106 0.43460  0.020
88  108 0.43990  0.018
89  109 0.44520  0.016
90  108 0.45020  0.015
91  108 0.45510  0.014
92  107 0.45980  0.012
93  106 0.46420  0.011
94  107 0.46860  0.010
95  107 0.47270  0.009
96  108 0.47670  0.009
97  108 0.48050  0.008
98  109 0.48410  0.007
99  109 0.48750  0.006
100 109 0.49070  0.006
