
Call:  glmnet(x = x, y = y, alpha = 0.1, family = "gaussian", standardize = FALSE) 

     Df    %Dev  Lambda
1     0 0.00000 29.3200
2     1 0.00512 26.7100
3     1 0.00960 24.3400
4     1 0.01349 22.1800
5     2 0.01780 20.2100
6     2 0.02152 18.4100
7     2 0.02469 16.7800
8     2 0.02738 15.2900
9     2 0.02967 13.9300
10    2 0.03160 12.6900
11    2 0.03324 11.5600
12    3 0.03496 10.5400
13    3 0.03693  9.6000
14    3 0.03860  8.7470
15    3 0.04001  7.9700
16    6 0.04170  7.2620
17    6 0.04439  6.6170
18    9 0.04709  6.0290
19    9 0.04985  5.4930
20   10 0.05227  5.0050
21   10 0.05441  4.5610
22   10 0.05624  4.1560
23   10 0.05780  3.7860
24   10 0.05913  3.4500
25   11 0.06035  3.1430
26   11 0.06142  2.8640
27   11 0.06232  2.6100
28   11 0.06310  2.3780
29   11 0.06376  2.1670
30   12 0.06475  1.9740
31   14 0.06593  1.7990
32   15 0.06752  1.6390
33   18 0.07093  1.4930
34   19 0.07586  1.3610
35   18 0.08122  1.2400
36   18 0.08649  1.1300
37   20 0.09188  1.0290
38   20 0.09775  0.9379
39   23 0.10420  0.8546
40   24 0.11080  0.7787
41   25 0.11840  0.7095
42   26 0.12610  0.6465
43   30 0.13410  0.5890
44   31 0.14270  0.5367
45   35 0.15130  0.4890
46   36 0.16070  0.4456
47   36 0.16990  0.4060
48   38 0.17900  0.3699
49   41 0.18830  0.3371
50   43 0.19750  0.3071
51   49 0.20720  0.2798
52   51 0.21690  0.2550
53   53 0.22640  0.2323
54   56 0.23590  0.2117
55   58 0.24530  0.1929
56   59 0.25450  0.1757
57   60 0.26330  0.1601
58   60 0.27200  0.1459
59   64 0.28050  0.1329
60   67 0.28900  0.1211
61   69 0.29740  0.1104
62   71 0.30580  0.1006
63   73 0.31420  0.0916
64   75 0.32230  0.0835
65   78 0.33030  0.0761
66   78 0.33800  0.0693
67   78 0.34560  0.0632
68   78 0.35310  0.0576
69   80 0.36030  0.0524
70   82 0.36730  0.0478
71   83 0.37450  0.0435
72   87 0.38160  0.0397
73   88 0.38850  0.0361
74   88 0.39520  0.0329
75   90 0.40170  0.0300
76   91 0.40810  0.0273
77   92 0.41430  0.0249
78   97 0.42040  0.0227
79   97 0.42660  0.0207
80   97 0.43250  0.0188
81   99 0.43820  0.0172
82   99 0.44380  0.0156
83  100 0.44920  0.0143
84  101 0.45430  0.0130
85  102 0.45920  0.0118
86  104 0.46390  0.0108
87  104 0.46830  0.0098
88  106 0.47260  0.0090
89  106 0.47670  0.0082
90  107 0.48070  0.0074
91  107 0.48440  0.0068
92  107 0.48790  0.0062
93  107 0.49120  0.0056
94  107 0.49420  0.0051
95  108 0.49700  0.0047
96  109 0.49960  0.0043
97  109 0.50200  0.0039
98  109 0.50410  0.0035
99  110 0.50610  0.0032
100 110 0.50790  0.0029
