
Call:  glmnet(x = x, y = y, alpha = 0.25, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1    0 0.00000 15.4900
2    1 0.00660 14.1100
3    1 0.01218 12.8600
4    1 0.01688 11.7200
5    1 0.02084 10.6800
6    1 0.02416  9.7280
7    1 0.02695  8.8640
8    1 0.02930  8.0760
9    1 0.03126  7.3590
10   2 0.03303  6.7050
11   3 0.03607  6.1090
12   3 0.03892  5.5670
13   3 0.04131  5.0720
14   3 0.04332  4.6210
15   3 0.04500  4.2110
16   3 0.04641  3.8370
17   3 0.04759  3.4960
18   3 0.04857  3.1850
19   3 0.04940  2.9020
20   4 0.05079  2.6450
21   5 0.05352  2.4100
22   7 0.05601  2.1960
23   7 0.05900  2.0010
24   7 0.06152  1.8230
25   7 0.06365  1.6610
26   8 0.06573  1.5130
27   8 0.06757  1.3790
28   9 0.06912  1.2560
29   8 0.07037  1.1450
30   7 0.07135  1.0430
31   8 0.07305  0.9504
32   8 0.07466  0.8660
33   8 0.07603  0.7891
34   7 0.07721  0.7190
35   8 0.07834  0.6551
36   9 0.08154  0.5969
37  12 0.08948  0.5439
38  12 0.09711  0.4955
39  14 0.10440  0.4515
40  14 0.11190  0.4114
41  15 0.11930  0.3749
42  18 0.12740  0.3416
43  19 0.13710  0.3112
44  21 0.14710  0.2836
45  23 0.15770  0.2584
46  24 0.16800  0.2354
47  26 0.17800  0.2145
48  27 0.18830  0.1955
49  27 0.19820  0.1781
50  31 0.20770  0.1623
51  35 0.21810  0.1479
52  35 0.22880  0.1347
53  38 0.23900  0.1228
54  39 0.24900  0.1118
55  41 0.25900  0.1019
56  43 0.26910  0.0929
57  45 0.27920  0.0846
58  47 0.28880  0.0771
59  49 0.29850  0.0702
60  54 0.30800  0.0640
61  55 0.31740  0.0583
62  57 0.32660  0.0531
63  59 0.33590  0.0484
64  61 0.34530  0.0441
65  64 0.35460  0.0402
66  66 0.36400  0.0366
67  67 0.37290  0.0334
68  69 0.38130  0.0304
69  69 0.38970  0.0277
70  68 0.39750  0.0252
71  69 0.40490  0.0230
72  69 0.41200  0.0210
73  69 0.41870  0.0191
74  69 0.42480  0.0174
75  72 0.43070  0.0158
76  73 0.43620  0.0144
77  74 0.44150  0.0132
78  75 0.44650  0.0120
79  75 0.45120  0.0109
80  76 0.45530  0.0100
81  77 0.45930  0.0091
82  77 0.46280  0.0083
83  78 0.46610  0.0075
84  78 0.46900  0.0069
85  80 0.47170  0.0063
86  79 0.47420  0.0057
87  79 0.47640  0.0052
88  80 0.47840  0.0047
89  80 0.48010  0.0043
90  80 0.48160  0.0039
91  81 0.48300  0.0036
92  82 0.48420  0.0033
93  82 0.48530  0.0030
94  82 0.48620  0.0027
95  82 0.48710  0.0025
96  82 0.48780  0.0022
97  82 0.48840  0.0020
98  82 0.48900  0.0019
99  82 0.48940  0.0017
100 82 0.48990  0.0015
