
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = TRUE) 

   Df    %Dev  Lambda
1   0 0.00000 0.43760
2   3 0.00855 0.39870
3   7 0.02033 0.36330
4   8 0.03752 0.33100
5   9 0.05869 0.30160
6  10 0.07807 0.27480
7  12 0.09682 0.25040
8  17 0.11570 0.22820
9  20 0.13590 0.20790
10 23 0.15930 0.18940
11 25 0.18280 0.17260
12 26 0.20410 0.15730
13 30 0.22300 0.14330
14 32 0.24090 0.13060
15 33 0.25670 0.11900
16 36 0.27220 0.10840
17 37 0.28840 0.09876
18 39 0.30430 0.08999
19 42 0.31870 0.08199
20 45 0.33400 0.07471
21 49 0.34810 0.06807
22 53 0.36070 0.06203
23 56 0.37370 0.05652
24 56 0.38590 0.05149
25 61 0.39690 0.04692
26 63 0.40900 0.04275
27 64 0.42060 0.03895
28 65 0.43050 0.03549
29 69 0.43910 0.03234
30 71 0.44670 0.02947
31 73 0.45300 0.02685
32 73 0.45840 0.02446
33 75 0.46310 0.02229
34 76 0.46700 0.02031
35 77 0.47040 0.01851
36 77 0.47320 0.01686
37 79 0.47570 0.01536
38 79 0.47810 0.01400
39 79 0.48000 0.01276
40 80 0.48180 0.01162
41 80 0.48340 0.01059
42 81 0.48470 0.00965
43 82 0.48580 0.00879
44 83 0.48690 0.00801
45 83 0.48770 0.00730
46 82 0.48850 0.00665
47 83 0.48910 0.00606
48 83 0.48960 0.00552
49 83 0.49010 0.00503
50 83 0.49040 0.00458
51 83 0.49070 0.00418
52 83 0.49100 0.00381
53 83 0.49120 0.00347
54 83 0.49130 0.00316
55 83 0.49150 0.00288
56 83 0.49160 0.00262
57 83 0.49170 0.00239
58 83 0.49180 0.00218
59 83 0.49180 0.00198
60 83 0.49190 0.00181
61 83 0.49190 0.00165
62 83 0.49200 0.00150
63 83 0.49200 0.00137
64 83 0.49200 0.00125
65 83 0.49210 0.00114
66 83 0.49210 0.00103
67 83 0.49210 0.00094
68 83 0.49210 0.00086
69 83 0.49210 0.00078
70 83 0.49210 0.00071
71 83 0.49220 0.00065
72 83 0.49220 0.00059
73 83 0.49220 0.00054
74 84 0.49220 0.00049
75 84 0.49220 0.00045
