
Call:  glmnet(x = x, y = y, alpha = 0.4, family = "gaussian", standardize = TRUE) 

   Df     %Dev  Lambda
1   0 0.000000 1.14500
2   3 0.007325 1.04400
3   4 0.021460 0.95090
4   5 0.035870 0.86650
5   8 0.053090 0.78950
6   8 0.068120 0.71940
7  11 0.083410 0.65550
8  11 0.098060 0.59720
9  11 0.110700 0.54420
10 12 0.121700 0.49580
11 15 0.132100 0.45180
12 18 0.143300 0.41160
13 22 0.156200 0.37510
14 24 0.172300 0.34180
15 28 0.187100 0.31140
16 29 0.201400 0.28370
17 32 0.214700 0.25850
18 33 0.227100 0.23560
19 34 0.237700 0.21460
20 35 0.247100 0.19560
21 36 0.255800 0.17820
22 36 0.263300 0.16240
23 35 0.269700 0.14790
24 35 0.275000 0.13480
25 35 0.279500 0.12280
26 35 0.283400 0.11190
27 35 0.286600 0.10200
28 35 0.289300 0.09291
29 35 0.291600 0.08465
30 35 0.293500 0.07713
31 35 0.295100 0.07028
32 35 0.296400 0.06404
33 35 0.297600 0.05835
34 35 0.298500 0.05317
35 35 0.299300 0.04844
36 35 0.299900 0.04414
37 35 0.300500 0.04022
38 35 0.301000 0.03665
39 35 0.301300 0.03339
40 35 0.301700 0.03042
41 35 0.301900 0.02772
42 35 0.302100 0.02526
43 35 0.302300 0.02301
44 35 0.302500 0.02097
45 35 0.302600 0.01911
46 35 0.302700 0.01741
47 35 0.302800 0.01586
48 35 0.302900 0.01445
49 35 0.303000 0.01317
50 35 0.303000 0.01200
51 35 0.303000 0.01093
52 35 0.303100 0.00996
53 35 0.303100 0.00908
54 35 0.303100 0.00827
55 35 0.303200 0.00754
56 35 0.303200 0.00687
57 35 0.303200 0.00626
58 35 0.303200 0.00570
59 36 0.303200 0.00519
60 36 0.303200 0.00473
61 36 0.303200 0.00431
62 36 0.303200 0.00393
63 36 0.303300 0.00358
64 36 0.303300 0.00326
65 36 0.303300 0.00297
66 36 0.303300 0.00271
67 36 0.303300 0.00247
68 36 0.303300 0.00225
69 36 0.303300 0.00205
70 35 0.303300 0.00187
71 35 0.303300 0.00170
