
Call:  glmnet(x = x, y = y, alpha = 0.9, family = "gaussian", standardize = FALSE) 

    Df     %Dev Lambda
1    0 0.000000 3.1930
2    1 0.005582 2.9090
3    1 0.010220 2.6510
4    2 0.014560 2.4150
5    2 0.019220 2.2010
6    2 0.023110 2.0050
7    2 0.026330 1.8270
8    2 0.029010 1.6650
9    2 0.031230 1.5170
10   3 0.033090 1.3820
11   3 0.034760 1.2590
12   5 0.040900 1.1470
13   5 0.047560 1.0450
14   5 0.053080 0.9526
15   5 0.057670 0.8680
16   5 0.061490 0.7908
17   4 0.064650 0.7206
18   4 0.067290 0.6566
19   4 0.069470 0.5982
20   4 0.071290 0.5451
21   4 0.072800 0.4967
22   4 0.074050 0.4526
23   4 0.075100 0.4123
24   4 0.075960 0.3757
25   4 0.076680 0.3423
26   4 0.077280 0.3119
27   4 0.077770 0.2842
28   4 0.078180 0.2590
29   4 0.078520 0.2360
30   4 0.078810 0.2150
31   4 0.079040 0.1959
32   5 0.082350 0.1785
33   6 0.092460 0.1626
34   7 0.102900 0.1482
35   7 0.115600 0.1350
36   8 0.126400 0.1230
37   8 0.135400 0.1121
38   8 0.142900 0.1021
39   8 0.149200 0.0931
40  10 0.155600 0.0848
41  12 0.164800 0.0773
42  13 0.175600 0.0704
43  13 0.185100 0.0642
44  13 0.193100 0.0584
45  13 0.199700 0.0533
46  15 0.206400 0.0485
47  16 0.212900 0.0442
48  17 0.219100 0.0403
49  18 0.225300 0.0367
50  20 0.231300 0.0334
51  22 0.237400 0.0305
52  25 0.244000 0.0278
53  25 0.250300 0.0253
54  28 0.257500 0.0230
55  30 0.264300 0.0210
56  30 0.270400 0.0191
57  31 0.275600 0.0174
58  31 0.279900 0.0159
59  31 0.283500 0.0145
60  32 0.286500 0.0132
61  32 0.289100 0.0120
62  32 0.291300 0.0110
63  33 0.293100 0.0100
64  33 0.294700 0.0091
65  33 0.296100 0.0083
66  33 0.297200 0.0075
67  32 0.298100 0.0069
68  32 0.298900 0.0063
69  32 0.299500 0.0057
70  32 0.300000 0.0052
71  33 0.300500 0.0047
72  33 0.300900 0.0043
73  33 0.301200 0.0039
74  33 0.301500 0.0036
75  33 0.301700 0.0033
76  33 0.301900 0.0030
77  33 0.302000 0.0027
78  33 0.302200 0.0025
79  34 0.302300 0.0023
80  34 0.302400 0.0021
81  35 0.302500 0.0019
82  35 0.302600 0.0017
83  35 0.302700 0.0016
84  35 0.302800 0.0014
85  35 0.302900 0.0013
86  35 0.302900 0.0012
87  35 0.303000 0.0011
88  35 0.303000 0.0010
89  35 0.303100 0.0009
90  35 0.303100 0.0008
91  35 0.303100 0.0007
92  35 0.303100 0.0007
93  35 0.303200 0.0006
94  35 0.303200 0.0006
95  35 0.303200 0.0005
96  36 0.303200 0.0005
97  36 0.303200 0.0004
98  36 0.303200 0.0004
99  36 0.303200 0.0004
100 36 0.303200 0.0003
