
Call:  glmnet(x = x, y = y, alpha = 0.05, family = "gaussian", standardize = TRUE) 

    Df    %Dev Lambda
1    0 0.00000 9.3420
2    1 0.00161 8.5120
3    1 0.00328 7.7560
4    2 0.00546 7.0670
5    3 0.00864 6.4390
6    3 0.01265 5.8670
7    5 0.01786 5.3460
8    7 0.02454 4.8710
9    9 0.03261 4.4380
10  15 0.04284 4.0440
11  25 0.05535 3.6850
12  33 0.07036 3.3570
13  38 0.08654 3.0590
14  45 0.10370 2.7870
15  50 0.12110 2.5400
16  53 0.13780 2.3140
17  61 0.15470 2.1090
18  67 0.17150 1.9210
19  75 0.18860 1.7510
20  83 0.20550 1.5950
21  85 0.22170 1.4530
22  88 0.23700 1.3240
23  89 0.25180 1.2070
24  91 0.26590 1.0990
25  97 0.27920 1.0020
26 101 0.29200 0.9127
27 110 0.30420 0.8317
28 111 0.31570 0.7578
29 111 0.32650 0.6905
30 112 0.33650 0.6291
31 116 0.34600 0.5732
32 116 0.35540 0.5223
33 118 0.36410 0.4759
34 120 0.37250 0.4336
35 122 0.38030 0.3951
36 124 0.38760 0.3600
37 125 0.39450 0.3280
38 127 0.40090 0.2989
39 128 0.40680 0.2723
40 128 0.41220 0.2481
41 130 0.41720 0.2261
42 129 0.42180 0.2060
43 129 0.42590 0.1877
44 130 0.42960 0.1710
45 131 0.43310 0.1558
46 131 0.43610 0.1420
47 131 0.43880 0.1294
48 131 0.44130 0.1179
49 131 0.44340 0.1074
50 131 0.44540 0.0979
51 131 0.44710 0.0892
52 131 0.44860 0.0812
53 130 0.44990 0.0740
54 130 0.45100 0.0675
55 129 0.45200 0.0615
56 129 0.45290 0.0560
57 126 0.45360 0.0510
58 124 0.45430 0.0465
59 124 0.45480 0.0424
60 125 0.45530 0.0386
61 125 0.45570 0.0352
62 125 0.45610 0.0320
63 125 0.45640 0.0292
64 125 0.45670 0.0266
65 125 0.45690 0.0242
66 125 0.45710 0.0221
67 125 0.45720 0.0201
68 126 0.45740 0.0183
69 126 0.45750 0.0167
70 127 0.45760 0.0152
71 131 0.45770 0.0139
72 132 0.45780 0.0126
73 132 0.45780 0.0115
74 132 0.45790 0.0105
75 132 0.45790 0.0096
76 132 0.45800 0.0087
77 132 0.45800 0.0079
78 130 0.45800 0.0072
79 130 0.45810 0.0066
80 131 0.45810 0.0060
81 132 0.45810 0.0055
82 132 0.45810 0.0050
83 132 0.45810 0.0045
84 131 0.45820 0.0041
85 131 0.45820 0.0038
86 132 0.45820 0.0034
87 132 0.45820 0.0031
88 131 0.45820 0.0029
89 132 0.45820 0.0026
90 132 0.45820 0.0024
91 132 0.45820 0.0022
92 132 0.45820 0.0020
93 132 0.45820 0.0018
