
Call:  glmnet(x = x, y = y, alpha = 0.5, family = "gaussian", standardize = FALSE) 

     Df    %Dev Lambda
1     0 0.00000 5.4660
2     1 0.00112 4.9800
3     1 0.00206 4.5380
4     1 0.00284 4.1350
5     1 0.00348 3.7680
6     2 0.00404 3.4330
7     2 0.00533 3.1280
8     2 0.00640 2.8500
9     2 0.00729 2.5970
10    2 0.00803 2.3660
11    2 0.00865 2.1560
12    4 0.00959 1.9640
13    5 0.01113 1.7900
14    7 0.01290 1.6310
15    7 0.01477 1.4860
16    7 0.01633 1.3540
17    7 0.01763 1.2340
18    7 0.01871 1.1240
19    7 0.01961 1.0240
20    7 0.02035 0.9332
21    7 0.02097 0.8503
22    8 0.02163 0.7748
23    8 0.02218 0.7060
24   10 0.02286 0.6432
25   11 0.02420 0.5861
26   12 0.02586 0.5340
27   12 0.02726 0.4866
28   12 0.02842 0.4434
29   14 0.03321 0.4040
30   15 0.03897 0.3681
31   17 0.04421 0.3354
32   17 0.04889 0.3056
33   19 0.05766 0.2784
34   20 0.06757 0.2537
35   21 0.07653 0.2312
36   22 0.08563 0.2106
37   23 0.09457 0.1919
38   25 0.10480 0.1749
39   25 0.11520 0.1593
40   25 0.12450 0.1452
41   26 0.13360 0.1323
42   27 0.14190 0.1205
43   30 0.15020 0.1098
44   34 0.15870 0.1001
45   37 0.16950 0.0912
46   38 0.17910 0.0831
47   42 0.18950 0.0757
48   42 0.19980 0.0690
49   43 0.20920 0.0628
50   48 0.21940 0.0573
51   54 0.23010 0.0522
52   55 0.24050 0.0475
53   60 0.25130 0.0433
54   63 0.26520 0.0395
55   66 0.27850 0.0360
56   67 0.29160 0.0328
57   69 0.30440 0.0299
58   70 0.31650 0.0272
59   74 0.32810 0.0248
60   78 0.33950 0.0226
61   80 0.35050 0.0206
62   81 0.36040 0.0188
63   83 0.36950 0.0171
64   84 0.37800 0.0156
65   84 0.38580 0.0142
66   87 0.39280 0.0129
67   90 0.39920 0.0118
68   94 0.40530 0.0107
69   95 0.41090 0.0098
70   97 0.41590 0.0089
71   97 0.42050 0.0081
72   99 0.42460 0.0074
73  102 0.42840 0.0067
74  102 0.43180 0.0061
75  105 0.43500 0.0056
76  106 0.43800 0.0051
77  108 0.44060 0.0046
78  111 0.44290 0.0042
79  111 0.44490 0.0039
80  112 0.44670 0.0035
81  112 0.44820 0.0032
82  112 0.44960 0.0029
83  113 0.45080 0.0027
84  114 0.45180 0.0024
85  115 0.45270 0.0022
86  115 0.45340 0.0020
87  116 0.45410 0.0018
88  116 0.45470 0.0017
89  117 0.45520 0.0015
90  118 0.45560 0.0014
91  118 0.45600 0.0013
92  118 0.45630 0.0012
93  118 0.45660 0.0010
94  119 0.45680 0.0010
95  121 0.45700 0.0009
96  121 0.45720 0.0008
97  122 0.45740 0.0007
98  122 0.45750 0.0007
99  122 0.45760 0.0006
100 122 0.45770 0.0005
