
Call:  glmnet(x = x, y = y, alpha = 0, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1   63 0.000000 2302.00
2   63 0.003663 2098.00
3   63 0.004008 1911.00
4   63 0.004384 1742.00
5   63 0.004793 1587.00
6   63 0.005240 1446.00
7   63 0.005725 1317.00
8   63 0.006253 1200.00
9   63 0.006827 1094.00
10  63 0.007450  996.60
11  63 0.008125  908.00
12  63 0.008856  827.40
13  63 0.009648  753.90
14  63 0.010500  686.90
15  63 0.011420  625.90
16  63 0.012420  570.30
17  63 0.013490  519.60
18  63 0.014630  473.50
19  63 0.015860  431.40
20  63 0.017180  393.10
21  63 0.018580  358.10
22  63 0.020070  326.30
23  63 0.021650  297.30
24  63 0.023320  270.90
25  63 0.025090  246.90
26  63 0.026950  224.90
27  63 0.028900  204.90
28  63 0.030940  186.70
29  63 0.033060  170.10
30  63 0.035260  155.00
31  63 0.037530  141.30
32  63 0.039860  128.70
33  63 0.042250  117.30
34  63 0.044690  106.90
35  63 0.047160   97.37
36  63 0.049650   88.72
37  63 0.052160   80.83
38  63 0.054670   73.65
39  63 0.057170   67.11
40  63 0.059640   61.15
41  63 0.062090   55.72
42  63 0.064490   50.77
43  63 0.066850   46.26
44  63 0.069150   42.15
45  63 0.071390   38.40
46  63 0.073560   34.99
47  63 0.075680   31.88
48  63 0.077730   29.05
49  63 0.079720   26.47
50  63 0.081660   24.12
51  63 0.083550   21.98
52  63 0.085410   20.02
53  63 0.087230   18.24
54  63 0.089040   16.62
55  63 0.090830   15.15
56  63 0.092630   13.80
57  63 0.094450   12.58
58  63 0.096290   11.46
59  63 0.098180   10.44
60  63 0.100100    9.51
61  63 0.102100    8.67
62  63 0.104200    7.90
63  63 0.106400    7.20
64  63 0.108700    6.56
65  63 0.111100    5.97
66  63 0.113600    5.44
67  63 0.116200    4.96
68  63 0.119000    4.52
69  63 0.122000    4.12
70  63 0.125100    3.75
71  63 0.128300    3.42
72  63 0.131800    3.12
73  63 0.135400    2.84
74  63 0.139200    2.59
75  63 0.143100    2.36
76  63 0.147300    2.15
77  63 0.151600    1.96
78  63 0.156100    1.78
79  63 0.160800    1.62
80  63 0.165700    1.48
81  63 0.170700    1.35
82  63 0.175900    1.23
83  63 0.181200    1.12
84  63 0.186600    1.02
85  63 0.192200    0.93
86  63 0.198000    0.85
87  63 0.203800    0.77
88  63 0.209700    0.70
89  63 0.215700    0.64
90  63 0.221700    0.58
91  63 0.227800    0.53
92  63 0.233900    0.48
93  63 0.240000    0.44
94  63 0.246200    0.40
95  63 0.252300    0.37
96  63 0.258400    0.33
97  63 0.264400    0.30
98  63 0.270400    0.28
99  63 0.276400    0.25
100 63 0.282200    0.23
