
Call:  glmnet(x = x, y = y, alpha = 0.25, family = "gaussian", standardize = TRUE) 

   Df    %Dev  Lambda
1   0 0.00000 2.50800
2   3 0.00996 2.28500
3   5 0.02044 2.08200
4   6 0.03033 1.89700
5   8 0.04296 1.72900
6   9 0.05514 1.57500
7   9 0.06608 1.43500
8  10 0.07858 1.30800
9  14 0.09168 1.19100
10 14 0.10340 1.08600
11 16 0.11530 0.98910
12 17 0.12860 0.90130
13 17 0.14060 0.82120
14 18 0.15420 0.74820
15 19 0.16680 0.68180
16 24 0.17960 0.62120
17 28 0.19400 0.56600
18 32 0.20910 0.51570
19 35 0.22400 0.46990
20 37 0.23880 0.42820
21 41 0.25400 0.39010
22 43 0.26820 0.35550
23 45 0.28170 0.32390
24 46 0.29380 0.29510
25 49 0.30490 0.26890
26 50 0.31520 0.24500
27 52 0.32460 0.22330
28 56 0.33330 0.20340
29 57 0.34170 0.18530
30 59 0.34960 0.16890
31 61 0.35670 0.15390
32 61 0.36320 0.14020
33 63 0.36880 0.12780
34 63 0.37400 0.11640
35 63 0.37850 0.10610
36 63 0.38230 0.09664
37 63 0.38560 0.08805
38 63 0.38840 0.08023
39 63 0.39070 0.07310
40 63 0.39280 0.06661
41 63 0.39450 0.06069
42 63 0.39590 0.05530
43 63 0.39720 0.05039
44 63 0.39820 0.04591
45 63 0.39910 0.04183
46 63 0.39980 0.03812
47 63 0.40040 0.03473
48 63 0.40090 0.03165
49 63 0.40140 0.02883
50 63 0.40180 0.02627
51 63 0.40210 0.02394
52 63 0.40230 0.02181
53 63 0.40250 0.01987
54 63 0.40270 0.01811
55 63 0.40290 0.01650
56 63 0.40300 0.01503
57 63 0.40310 0.01370
58 63 0.40320 0.01248
59 63 0.40330 0.01137
60 63 0.40330 0.01036
61 63 0.40340 0.00944
62 63 0.40340 0.00860
63 63 0.40350 0.00784
64 63 0.40350 0.00714
65 63 0.40350 0.00651
66 63 0.40350 0.00593
67 63 0.40360 0.00540
68 63 0.40360 0.00492
69 63 0.40360 0.00449
70 63 0.40360 0.00409
71 63 0.40360 0.00372
72 63 0.40360 0.00339
73 63 0.40360 0.00309
74 63 0.40360 0.00282
75 63 0.40360 0.00257
76 63 0.40360 0.00234
77 63 0.40360 0.00213
