
Call:  glmnet(x = x, y = y, alpha = 0.25, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1    0 0.00000 14.7400
2    1 0.00607 13.4300
3    1 0.01119 12.2300
4    1 0.01550 11.1500
5    1 0.01913 10.1600
6    1 0.02218  9.2540
7    1 0.02473  8.4320
8    1 0.02687  7.6830
9    1 0.02867  7.0010
10   1 0.03017  6.3790
11   2 0.03169  5.8120
12   2 0.03299  5.2960
13   2 0.03407  4.8250
14   3 0.03558  4.3970
15   3 0.03738  4.0060
16   3 0.03889  3.6500
17   3 0.04015  3.3260
18   3 0.04121  3.0300
19   3 0.04209  2.7610
20   3 0.04283  2.5160
21   4 0.04386  2.2920
22   4 0.04495  2.0890
23   4 0.04587  1.9030
24   4 0.04663  1.7340
25   4 0.04727  1.5800
26   5 0.04781  1.4400
27   5 0.04826  1.3120
28   5 0.04863  1.1950
29   6 0.04903  1.0890
30   6 0.04949  0.9923
31   6 0.04986  0.9042
32   7 0.05040  0.8238
33   8 0.05089  0.7507
34   9 0.05165  0.6840
35   9 0.05509  0.6232
36  10 0.06008  0.5678
37  11 0.06533  0.5174
38  14 0.07109  0.4714
39  14 0.07923  0.4296
40  14 0.08680  0.3914
41  14 0.09380  0.3566
42  14 0.10030  0.3249
43  14 0.10620  0.2961
44  16 0.11370  0.2698
45  17 0.12180  0.2458
46  21 0.13060  0.2240
47  21 0.14000  0.2041
48  23 0.14890  0.1859
49  28 0.15930  0.1694
50  30 0.16970  0.1544
51  31 0.17970  0.1407
52  33 0.18950  0.1282
53  34 0.19880  0.1168
54  38 0.20820  0.1064
55  40 0.21760  0.0970
56  40 0.22670  0.0883
57  45 0.23580  0.0805
58  46 0.24530  0.0733
59  48 0.25430  0.0668
60  50 0.26270  0.0609
61  53 0.27100  0.0555
62  56 0.27890  0.0506
63  59 0.28670  0.0461
64  60 0.29470  0.0420
65  63 0.30250  0.0382
66  64 0.31000  0.0348
67  65 0.31720  0.0318
68  67 0.32390  0.0289
69  68 0.33020  0.0264
70  68 0.33600  0.0240
71  70 0.34140  0.0219
72  72 0.34660  0.0199
73  72 0.35140  0.0182
74  72 0.35570  0.0166
75  73 0.35960  0.0151
76  73 0.36320  0.0137
77  73 0.36640  0.0125
78  74 0.36930  0.0114
79  74 0.37180  0.0104
80  74 0.37410  0.0095
81  75 0.37610  0.0086
82  76 0.37810  0.0079
83  76 0.37980  0.0072
84  76 0.38140  0.0065
85  76 0.38280  0.0059
86  75 0.38400  0.0054
87  76 0.38500  0.0049
88  76 0.38600  0.0045
89  76 0.38680  0.0041
90  75 0.38750  0.0037
91  76 0.38810  0.0034
92  76 0.38860  0.0031
93  78 0.38910  0.0028
94  78 0.38950  0.0026
95  78 0.38990  0.0023
96  78 0.39030  0.0021
97  78 0.39050  0.0019
98  78 0.39080  0.0018
99  78 0.39100  0.0016
100 78 0.39120  0.0015
