
Call:  glmnet(x = x, y = y, alpha = 0.45, family = "gaussian", standardize = TRUE) 

   Df    %Dev  Lambda
1   0 0.00000 0.94350
2   2 0.00819 0.85970
3   2 0.01841 0.78330
4   2 0.02732 0.71370
5   5 0.03873 0.65030
6   6 0.05083 0.59250
7   7 0.06554 0.53990
8   8 0.07836 0.49190
9   8 0.09118 0.44820
10 10 0.10320 0.40840
11 13 0.11730 0.37210
12 20 0.13580 0.33910
13 22 0.15440 0.30890
14 24 0.17140 0.28150
15 26 0.18640 0.25650
16 31 0.20080 0.23370
17 41 0.21610 0.21290
18 41 0.23030 0.19400
19 46 0.24400 0.17680
20 53 0.25720 0.16110
21 58 0.27040 0.14680
22 61 0.28360 0.13370
23 62 0.29670 0.12190
24 65 0.30810 0.11100
25 69 0.31790 0.10120
26 71 0.32690 0.09218
27 73 0.33500 0.08399
28 78 0.34320 0.07653
29 80 0.35050 0.06973
30 81 0.35660 0.06353
31 82 0.36190 0.05789
32 83 0.36660 0.05275
33 83 0.37080 0.04806
34 82 0.37430 0.04379
35 81 0.37710 0.03990
36 81 0.37950 0.03636
37 81 0.38150 0.03313
38 81 0.38320 0.03018
39 80 0.38460 0.02750
40 80 0.38580 0.02506
41 80 0.38680 0.02283
42 80 0.38760 0.02080
43 80 0.38830 0.01896
44 81 0.38880 0.01727
45 81 0.38940 0.01574
46 80 0.38980 0.01434
47 80 0.39020 0.01307
48 80 0.39050 0.01191
49 80 0.39070 0.01085
50 80 0.39090 0.00988
51 80 0.39110 0.00901
52 80 0.39130 0.00821
53 81 0.39140 0.00748
54 80 0.39150 0.00681
55 80 0.39160 0.00621
56 80 0.39170 0.00566
57 80 0.39170 0.00515
58 81 0.39180 0.00470
59 81 0.39180 0.00428
60 82 0.39190 0.00390
61 82 0.39190 0.00355
62 82 0.39200 0.00324
63 82 0.39200 0.00295
64 82 0.39210 0.00269
65 82 0.39210 0.00245
66 82 0.39210 0.00223
67 82 0.39210 0.00203
68 82 0.39210 0.00185
69 81 0.39220 0.00169
70 81 0.39220 0.00154
71 81 0.39220 0.00140
72 81 0.39220 0.00128
73 81 0.39220 0.00116
74 82 0.39220 0.00106
75 82 0.39220 0.00097
76 82 0.39220 0.00088
77 82 0.39220 0.00080
78 82 0.39220 0.00073
79 82 0.39220 0.00067
