
Call:  glmnet(x = x, y = y, alpha = 0.85, family = "gaussian", standardize = TRUE) 

   Df    %Dev  Lambda
1   0 0.00000 0.81470
2   1 0.01436 0.74230
3   1 0.02644 0.67640
4   3 0.04119 0.61630
5   3 0.05986 0.56150
6   5 0.07625 0.51170
7   6 0.09642 0.46620
8   6 0.11350 0.42480
9   6 0.12770 0.38700
10  9 0.14180 0.35270
11 10 0.15710 0.32130
12 11 0.17370 0.29280
13 15 0.18970 0.26680
14 17 0.20830 0.24310
15 17 0.22800 0.22150
16 18 0.24490 0.20180
17 19 0.26000 0.18390
18 20 0.27310 0.16750
19 23 0.28590 0.15270
20 24 0.29740 0.13910
21 27 0.30820 0.12670
22 29 0.31930 0.11550
23 31 0.33050 0.10520
24 31 0.34030 0.09587
25 32 0.34920 0.08736
26 33 0.35700 0.07960
27 33 0.36390 0.07253
28 33 0.36970 0.06608
29 33 0.37450 0.06021
30 33 0.37850 0.05486
31 33 0.38180 0.04999
32 33 0.38460 0.04555
33 33 0.38690 0.04150
34 32 0.38880 0.03781
35 32 0.39040 0.03446
36 32 0.39170 0.03139
37 32 0.39280 0.02861
38 32 0.39370 0.02606
39 32 0.39450 0.02375
40 32 0.39510 0.02164
41 32 0.39570 0.01972
42 32 0.39610 0.01797
43 32 0.39650 0.01637
44 32 0.39680 0.01491
45 32 0.39700 0.01359
46 32 0.39720 0.01238
47 32 0.39740 0.01128
48 32 0.39750 0.01028
49 32 0.39760 0.00937
50 32 0.39770 0.00853
51 32 0.39780 0.00778
52 32 0.39790 0.00709
53 32 0.39800 0.00646
54 32 0.39800 0.00588
55 32 0.39800 0.00536
56 32 0.39810 0.00488
57 32 0.39810 0.00445
58 32 0.39810 0.00405
59 32 0.39810 0.00370
60 32 0.39820 0.00337
61 32 0.39820 0.00307
62 32 0.39820 0.00280
63 32 0.39820 0.00255
64 32 0.39820 0.00232
65 32 0.39820 0.00211
66 33 0.39820 0.00193
67 33 0.39820 0.00176
68 33 0.39820 0.00160
69 33 0.39820 0.00146
70 33 0.39820 0.00133
71 33 0.39820 0.00121
