
Call:  glmnet(x = x, y = y, alpha = 0.55, family = "gaussian", standardize = FALSE) 

     Df    %Dev Lambda
1     0 0.00000 4.5830
2     1 0.00184 4.1760
3     2 0.00370 3.8050
4     3 0.00632 3.4670
5     3 0.00898 3.1590
6     4 0.01223 2.8780
7     5 0.01588 2.6230
8     6 0.01936 2.3900
9     6 0.02251 2.1770
10    6 0.02513 1.9840
11    6 0.02731 1.8080
12    6 0.02911 1.6470
13    6 0.03062 1.5010
14    6 0.03187 1.3670
15    6 0.03291 1.2460
16    7 0.03380 1.1350
17    8 0.03551 1.0340
18    9 0.03711 0.9425
19    9 0.03861 0.8588
20    9 0.03983 0.7825
21    9 0.04085 0.7130
22    9 0.04170 0.6496
23   10 0.04243 0.5919
24   10 0.04327 0.5393
25   11 0.04519 0.4914
26   12 0.05428 0.4478
27   12 0.06262 0.4080
28   12 0.07003 0.3717
29   12 0.07660 0.3387
30   13 0.08650 0.3086
31   13 0.09700 0.2812
32   12 0.10630 0.2562
33   13 0.11510 0.2335
34   15 0.12640 0.2127
35   16 0.14040 0.1938
36   17 0.15360 0.1766
37   20 0.16800 0.1609
38   22 0.18190 0.1466
39   22 0.19480 0.1336
40   21 0.20600 0.1217
41   23 0.21700 0.1109
42   26 0.23000 0.1011
43   29 0.24390 0.0921
44   30 0.25680 0.0839
45   32 0.26820 0.0764
46   33 0.27870 0.0697
47   35 0.28900 0.0635
48   38 0.29940 0.0578
49   42 0.30880 0.0527
50   42 0.31830 0.0480
51   43 0.32680 0.0438
52   46 0.33460 0.0399
53   49 0.34340 0.0363
54   53 0.35440 0.0331
55   57 0.36610 0.0302
56   62 0.37990 0.0275
57   67 0.39380 0.0250
58   69 0.40770 0.0228
59   74 0.42190 0.0208
60   75 0.43520 0.0189
61   79 0.44810 0.0173
62   83 0.46040 0.0157
63   83 0.47190 0.0143
64   84 0.48220 0.0130
65   87 0.49200 0.0119
66   88 0.50070 0.0108
67   90 0.50830 0.0099
68   93 0.51530 0.0090
69   93 0.52160 0.0082
70   96 0.52850 0.0075
71   95 0.53490 0.0068
72   97 0.54070 0.0062
73   98 0.54590 0.0056
74   99 0.55100 0.0051
75  102 0.55590 0.0047
76  101 0.56040 0.0043
77  102 0.56440 0.0039
78  104 0.56780 0.0035
79  107 0.57090 0.0032
80  108 0.57380 0.0029
81  109 0.57660 0.0027
82  109 0.57920 0.0024
83  110 0.58140 0.0022
84  111 0.58350 0.0020
85  111 0.58550 0.0018
86  112 0.58730 0.0017
87  114 0.58880 0.0015
88  114 0.59030 0.0014
89  114 0.59160 0.0013
90  114 0.59280 0.0012
91  115 0.59380 0.0011
92  115 0.59470 0.0010
93  115 0.59550 0.0009
94  115 0.59620 0.0008
95  115 0.59680 0.0007
96  115 0.59730 0.0007
97  116 0.59770 0.0006
98  115 0.59810 0.0006
99  115 0.59840 0.0005
100 116 0.59870 0.0005
