
Call:  glmnet(x = x, y = y, alpha = 0.4, family = "gaussian", standardize = FALSE) 

    Df    %Dev Lambda
1    0 0.00000 4.5820
2    1 0.00473 4.1750
3    2 0.00951 3.8040
4    2 0.01510 3.4660
5    2 0.01978 3.1580
6    2 0.02370 2.8780
7    2 0.02698 2.6220
8    3 0.03012 2.3890
9    3 0.03284 2.1770
10   3 0.03511 1.9830
11   3 0.03701 1.8070
12   3 0.03858 1.6470
13   3 0.03990 1.5000
14   3 0.04099 1.3670
15   4 0.04308 1.2460
16   4 0.04484 1.1350
17   4 0.04631 1.0340
18   4 0.04753 0.9423
19   5 0.04874 0.8586
20   5 0.04979 0.7823
21   7 0.05161 0.7128
22   7 0.05361 0.6495
23   7 0.05531 0.5918
24   6 0.05671 0.5392
25   7 0.05956 0.4913
26   8 0.06649 0.4477
27   9 0.07560 0.4079
28   9 0.08582 0.3717
29   9 0.09524 0.3386
30   9 0.10390 0.3086
31  10 0.11310 0.2812
32  10 0.12230 0.2562
33  10 0.13070 0.2334
34  11 0.13860 0.2127
35  12 0.14870 0.1938
36  13 0.15950 0.1766
37  15 0.17040 0.1609
38  15 0.18050 0.1466
39  18 0.19120 0.1336
40  22 0.20330 0.1217
41  22 0.21630 0.1109
42  22 0.22790 0.1010
43  24 0.23840 0.0921
44  26 0.24830 0.0839
45  28 0.25760 0.0764
46  30 0.26650 0.0696
47  31 0.27530 0.0635
48  33 0.28340 0.0578
49  35 0.29150 0.0527
50  37 0.29910 0.0480
51  40 0.30710 0.0437
52  42 0.31460 0.0398
53  43 0.32200 0.0363
54  44 0.32860 0.0331
55  45 0.33450 0.0302
56  49 0.34090 0.0275
57  53 0.34780 0.0250
58  55 0.35610 0.0228
59  55 0.36390 0.0208
60  56 0.37090 0.0189
61  57 0.37730 0.0173
62  59 0.38320 0.0157
63  59 0.38850 0.0143
64  59 0.39320 0.0130
65  60 0.39750 0.0119
66  60 0.40160 0.0108
67  60 0.40530 0.0099
68  61 0.40870 0.0090
69  61 0.41180 0.0082
70  61 0.41450 0.0075
71  61 0.41700 0.0068
72  61 0.41910 0.0062
73  61 0.42100 0.0056
74  61 0.42260 0.0051
75  61 0.42400 0.0047
76  61 0.42530 0.0043
77  61 0.42640 0.0039
78  61 0.42730 0.0035
79  61 0.42810 0.0032
80  61 0.42880 0.0029
81  61 0.42940 0.0027
82  61 0.42990 0.0024
83  61 0.43030 0.0022
84  61 0.43070 0.0020
85  61 0.43100 0.0018
86  61 0.43130 0.0017
87  61 0.43150 0.0015
88  61 0.43170 0.0014
89  61 0.43190 0.0013
90  61 0.43200 0.0012
91  61 0.43220 0.0011
92  61 0.43230 0.0010
93  61 0.43230 0.0009
94  61 0.43240 0.0008
95  61 0.43250 0.0007
96  61 0.43250 0.0007
97  61 0.43260 0.0006
98  61 0.43260 0.0006
99  61 0.43260 0.0005
100 62 0.43260 0.0005
