
Call:  glmnet(x = x, y = y, alpha = 0.1, family = "gaussian", standardize = FALSE) 

     Df    %Dev  Lambda
1     0 0.00000 10.9200
2     2 0.00085  9.9470
3     2 0.00204  9.0640
4     1 0.00310  8.2580
5     1 0.00397  7.5250
6     1 0.00472  6.8560
7     1 0.00536  6.2470
8     1 0.00590  5.6920
9     2 0.00648  5.1870
10    2 0.00721  4.7260
11    2 0.00783  4.3060
12    2 0.00835  3.9230
13    2 0.00880  3.5750
14    2 0.00917  3.2570
15    3 0.00962  2.9680
16    4 0.01007  2.7040
17    4 0.01044  2.4640
18    4 0.01076  2.2450
19    5 0.01116  2.0460
20    6 0.01176  1.8640
21    7 0.01277  1.6980
22    7 0.01472  1.5470
23    8 0.01668  1.4100
24   13 0.01975  1.2850
25   13 0.02307  1.1710
26   14 0.02652  1.0670
27   17 0.03074  0.9719
28   19 0.03567  0.8855
29   20 0.04103  0.8069
30   22 0.04705  0.7352
31   22 0.05316  0.6699
32   25 0.05946  0.6104
33   29 0.06678  0.5561
34   32 0.07433  0.5067
35   33 0.08210  0.4617
36   35 0.09017  0.4207
37   39 0.09829  0.3833
38   39 0.10620  0.3493
39   44 0.11420  0.3182
40   45 0.12220  0.2900
41   47 0.13000  0.2642
42   49 0.13760  0.2407
43   52 0.14520  0.2194
44   60 0.15320  0.1999
45   63 0.16180  0.1821
46   69 0.17040  0.1659
47   69 0.17930  0.1512
48   71 0.18780  0.1378
49   77 0.19630  0.1255
50   82 0.20490  0.1144
51   85 0.21350  0.1042
52   85 0.22180  0.0950
53   86 0.22990  0.0865
54   91 0.23770  0.0788
55   94 0.24590  0.0718
56   96 0.25390  0.0654
57   97 0.26170  0.0596
58   98 0.26920  0.0543
59  101 0.27670  0.0495
60  101 0.28410  0.0451
61  105 0.29140  0.0411
62  108 0.29850  0.0374
63  108 0.30550  0.0341
64  108 0.31240  0.0311
65  108 0.31900  0.0283
66  109 0.32530  0.0258
67  110 0.33150  0.0235
68  114 0.33740  0.0214
69  118 0.34300  0.0195
70  121 0.34860  0.0178
71  122 0.35390  0.0162
72  123 0.35900  0.0148
73  127 0.36400  0.0135
74  126 0.36880  0.0123
75  129 0.37330  0.0112
76  130 0.37760  0.0102
77  134 0.38180  0.0093
78  136 0.38570  0.0085
79  137 0.38960  0.0077
80  139 0.39330  0.0070
81  141 0.39690  0.0064
82  141 0.40020  0.0058
83  144 0.40340  0.0053
84  144 0.40650  0.0048
85  148 0.40930  0.0044
86  152 0.41200  0.0040
87  153 0.41450  0.0037
88  157 0.41690  0.0033
89  156 0.41920  0.0030
90  155 0.42130  0.0028
91  159 0.42320  0.0025
92  162 0.42500  0.0023
93  165 0.42670  0.0021
94  166 0.42830  0.0019
95  167 0.42980  0.0017
96  167 0.43120  0.0016
97  168 0.43250  0.0014
98  168 0.43370  0.0013
99  169 0.43490  0.0012
100 170 0.43580  0.0011
