
Call:  glmnet(x = x, y = y, alpha = 0.2, family = "gaussian", standardize = TRUE) 

    Df    %Dev  Lambda
1    0 0.00000 2.15500
2    1 0.00413 1.96300
3    1 0.00800 1.78900
4    1 0.01159 1.63000
5    1 0.01491 1.48500
6    2 0.01905 1.35300
7    2 0.02383 1.23300
8    5 0.02997 1.12300
9    7 0.03963 1.02400
10  11 0.05230 0.93270
11  19 0.06824 0.84980
12  25 0.08849 0.77430
13  26 0.10830 0.70550
14  28 0.12680 0.64290
15  30 0.14430 0.58580
16  37 0.16190 0.53370
17  41 0.17950 0.48630
18  47 0.19640 0.44310
19  49 0.21270 0.40370
20  53 0.22800 0.36790
21  61 0.24270 0.33520
22  63 0.25710 0.30540
23  69 0.27050 0.27830
24  74 0.28330 0.25360
25  81 0.29560 0.23100
26  85 0.30670 0.21050
27  86 0.31650 0.19180
28  88 0.32550 0.17480
29  93 0.33380 0.15920
30  99 0.34250 0.14510
31 102 0.35140 0.13220
32 105 0.35960 0.12050
33 103 0.36680 0.10980
34 108 0.37310 0.10000
35 111 0.37930 0.09112
36 113 0.38500 0.08303
37 115 0.39010 0.07565
38 117 0.39490 0.06893
39 120 0.39910 0.06281
40 123 0.40370 0.05723
41 126 0.40770 0.05214
42 127 0.41120 0.04751
43 130 0.41460 0.04329
44 132 0.41750 0.03945
45 133 0.42030 0.03594
46 133 0.42270 0.03275
47 134 0.42490 0.02984
48 137 0.42670 0.02719
49 140 0.42870 0.02477
50 141 0.43040 0.02257
51 143 0.43190 0.02057
52 143 0.43320 0.01874
53 147 0.43440 0.01707
54 149 0.43550 0.01556
55 152 0.43650 0.01418
56 153 0.43750 0.01292
57 156 0.43840 0.01177
58 154 0.43920 0.01072
59 156 0.43990 0.00977
60 154 0.44060 0.00890
61 158 0.44120 0.00811
62 160 0.44190 0.00739
63 160 0.44240 0.00674
64 159 0.44280 0.00614
65 159 0.44320 0.00559
66 160 0.44350 0.00509
67 162 0.44380 0.00464
68 162 0.44400 0.00423
69 165 0.44430 0.00385
70 167 0.44450 0.00351
71 169 0.44460 0.00320
72 167 0.44480 0.00292
73 168 0.44490 0.00266
74 170 0.44510 0.00242
75 172 0.44520 0.00220
76 170 0.44530 0.00201
77 172 0.44540 0.00183
78 172 0.44540 0.00167
79 176 0.44550 0.00152
80 176 0.44560 0.00138
81 177 0.44560 0.00126
82 179 0.44570 0.00115
83 181 0.44570 0.00105
84 183 0.44570 0.00095
85 183 0.44580 0.00087
86 186 0.44580 0.00079
87 187 0.44580 0.00072
88 186 0.44590 0.00066
89 188 0.44590 0.00060
