
Call:  glmnet(x = x, y = y, alpha = 0.03, family = "gaussian", standardize = FALSE) 

    Df     %Dev Lambda
1    0 0.000000 4.4110
2    2 0.000570 4.0190
3    3 0.001480 3.6620
4    3 0.002578 3.3370
5    4 0.003972 3.0400
6    5 0.005502 2.7700
7    5 0.007196 2.5240
8    7 0.009117 2.3000
9    8 0.011360 2.0960
10   8 0.013820 1.9100
11   9 0.016530 1.7400
12   9 0.019430 1.5850
13  11 0.022600 1.4440
14  13 0.026120 1.3160
15  19 0.030160 1.1990
16  20 0.034520 1.0930
17  22 0.039100 0.9956
18  22 0.043820 0.9072
19  25 0.048680 0.8266
20  27 0.053730 0.7531
21  27 0.058920 0.6862
22  30 0.064210 0.6253
23  32 0.069600 0.5697
24  36 0.075180 0.5191
25  39 0.080890 0.4730
26  42 0.086670 0.4310
27  44 0.092620 0.3927
28  46 0.098580 0.3578
29  47 0.104600 0.3260
30  47 0.110500 0.2971
31  48 0.116400 0.2707
32  49 0.122400 0.2466
33  52 0.128400 0.2247
34  53 0.134300 0.2047
35  53 0.140200 0.1866
36  53 0.146000 0.1700
37  53 0.151700 0.1549
38  52 0.157300 0.1411
39  51 0.162600 0.1286
40  53 0.167900 0.1172
41  55 0.173000 0.1068
42  56 0.177900 0.0973
43  57 0.182900 0.0886
44  58 0.187800 0.0808
45  59 0.192500 0.0736
46  59 0.197100 0.0670
47  62 0.201500 0.0611
48  62 0.205800 0.0557
49  62 0.210000 0.0507
50  62 0.214000 0.0462
51  62 0.217800 0.0421
52  61 0.221500 0.0384
53  61 0.225000 0.0350
54  61 0.228300 0.0319
55  61 0.231400 0.0290
56  61 0.234400 0.0264
57  61 0.237200 0.0241
58  60 0.239800 0.0220
59  59 0.242300 0.0200
60  59 0.244500 0.0182
61  60 0.246700 0.0166
62  60 0.248700 0.0151
63  60 0.250500 0.0138
64  60 0.252200 0.0126
65  61 0.253800 0.0114
66  60 0.255200 0.0104
67  59 0.256500 0.0095
68  62 0.257700 0.0087
69  62 0.258800 0.0079
70  61 0.259800 0.0072
71  62 0.260700 0.0066
72  62 0.261600 0.0060
73  62 0.262300 0.0054
74  62 0.263000 0.0050
75  62 0.263600 0.0045
76  62 0.264100 0.0041
77  62 0.264600 0.0037
78  62 0.265000 0.0034
79  62 0.265400 0.0031
80  62 0.265700 0.0028
81  62 0.266000 0.0026
82  62 0.266300 0.0024
83  61 0.266500 0.0021
84  62 0.266700 0.0020
85  62 0.266900 0.0018
86  62 0.267000 0.0016
87  62 0.267200 0.0015
88  62 0.267300 0.0013
89  61 0.267400 0.0012
90  61 0.267500 0.0011
91  62 0.267500 0.0010
92  62 0.267600 0.0009
93  62 0.267700 0.0008
94  62 0.267700 0.0008
95  62 0.267700 0.0007
96  62 0.267800 0.0006
97  62 0.267800 0.0006
98  62 0.267800 0.0005
99  62 0.267800 0.0005
100 62 0.267900 0.0004
