
Call:  glmnet(x = x, y = y, alpha = 0.02, family = "gaussian", standardize = FALSE) 

     Df    %Dev Lambda
1     0 0.00000 99.050
2     1 0.00199 90.250
3     1 0.00391 82.230
4     1 0.00575 74.930
5     1 0.00750 68.270
6     1 0.00915 62.210
7     2 0.01099 56.680
8     2 0.01280 51.650
9     2 0.01444 47.060
10    2 0.01592 42.880
11    2 0.01724 39.070
12    2 0.01843 35.600
13    2 0.01948 32.430
14    2 0.02041 29.550
15    2 0.02123 26.930
16    2 0.02195 24.540
17    2 0.02258 22.360
18    2 0.02313 20.370
19    2 0.02361 18.560
20    2 0.02403 16.910
21    2 0.02439 15.410
22    2 0.02471 14.040
23    2 0.02498 12.790
24    2 0.02521 11.660
25    3 0.02542 10.620
26    4 0.02565  9.677
27    4 0.02619  8.818
28    5 0.02681  8.034
29    7 0.02759  7.321
30    7 0.02863  6.670
31    9 0.02975  6.078
32   10 0.03124  5.538
33   11 0.03288  5.046
34   13 0.03480  4.598
35   14 0.03699  4.189
36   14 0.03925  3.817
37   14 0.04159  3.478
38   16 0.04414  3.169
39   19 0.04707  2.887
40   23 0.05036  2.631
41   25 0.05402  2.397
42   26 0.05788  2.184
43   32 0.06200  1.990
44   32 0.06659  1.813
45   34 0.07140  1.652
46   36 0.07648  1.505
47   36 0.08170  1.372
48   40 0.08714  1.250
49   43 0.09283  1.139
50   45 0.09872  1.038
51   47 0.10480  0.946
52   49 0.11100  0.862
53   54 0.11730  0.785
54   55 0.12380  0.715
55   61 0.13040  0.652
56   64 0.13700  0.594
57   63 0.14380  0.541
58   64 0.15050  0.493
59   65 0.15720  0.449
60   65 0.16390  0.409
61   67 0.17050  0.373
62   70 0.17720  0.340
63   70 0.18390  0.310
64   72 0.19060  0.282
65   72 0.19720  0.257
66   75 0.20380  0.234
67   78 0.21020  0.213
68   80 0.21670  0.194
69   81 0.22320  0.177
70   81 0.22950  0.161
71   83 0.23590  0.147
72   84 0.24210  0.134
73   85 0.24830  0.122
74   86 0.25440  0.111
75   87 0.26040  0.101
76   92 0.26640  0.092
77   93 0.27230  0.084
78   93 0.27810  0.077
79   94 0.28390  0.070
80   94 0.28960  0.064
81   94 0.29520  0.058
82   95 0.30070  0.053
83   97 0.30620  0.048
84   96 0.31150  0.044
85   98 0.31680  0.040
86   98 0.32200  0.036
87   97 0.32710  0.033
88   99 0.33210  0.030
89   99 0.33710  0.028
90  100 0.34200  0.025
91  100 0.34680  0.023
92  100 0.35150  0.021
93  101 0.35600  0.019
94  100 0.36050  0.017
95   99 0.36480  0.016
96  100 0.36890  0.014
97   99 0.37290  0.013
98  102 0.37670  0.012
99  102 0.38050  0.011
100 102 0.38410  0.010
