
Call:  glmnet(x = x, y = y, alpha = 0.03, family = "gaussian", standardize = TRUE) 

     Df    %Dev  Lambda
1     0 0.00000 16.2300
2     1 0.00124 14.7900
3     1 0.00255 13.4700
4     1 0.00394 12.2800
5     1 0.00540 11.1900
6     6 0.00811 10.1900
7     8 0.01278  9.2870
8     9 0.01770  8.4620
9     9 0.02273  7.7100
10   12 0.02810  7.0250
11   15 0.03460  6.4010
12   17 0.04208  5.8320
13   20 0.04958  5.3140
14   24 0.05832  4.8420
15   29 0.06787  4.4120
16   34 0.07821  4.0200
17   38 0.08952  3.6630
18   43 0.10140  3.3370
19   48 0.11430  3.0410
20   48 0.12720  2.7710
21   52 0.13990  2.5250
22   52 0.15240  2.3000
23   55 0.16460  2.0960
24   58 0.17680  1.9100
25   63 0.18880  1.7400
26   68 0.20090  1.5860
27   74 0.21270  1.4450
28   80 0.22420  1.3160
29   80 0.23540  1.1990
30   81 0.24630  1.0930
31   82 0.25660  0.9958
32   86 0.26660  0.9073
33   98 0.27620  0.8267
34   99 0.28570  0.7533
35  101 0.29480  0.6864
36  103 0.30350  0.6254
37  105 0.31180  0.5698
38  106 0.31960  0.5192
39  108 0.32710  0.4731
40  111 0.33440  0.4311
41  112 0.34150  0.3928
42  113 0.34820  0.3579
43  115 0.35460  0.3261
44  115 0.36060  0.2971
45  114 0.36620  0.2707
46  113 0.37140  0.2467
47  113 0.37610  0.2248
48  114 0.38070  0.2048
49  114 0.38490  0.1866
50  115 0.38890  0.1700
51  115 0.39260  0.1549
52  116 0.39600  0.1412
53  117 0.39950  0.1286
54  117 0.40260  0.1172
55  118 0.40560  0.1068
56  118 0.40840  0.0973
57  117 0.41090  0.0887
58  118 0.41320  0.0808
59  118 0.41530  0.0736
60  118 0.41740  0.0671
61  117 0.41920  0.0611
62  118 0.42100  0.0557
63  117 0.42250  0.0507
64  118 0.42390  0.0462
65  121 0.42520  0.0421
66  120 0.42640  0.0384
67  121 0.42740  0.0350
68  122 0.42840  0.0319
69  123 0.42930  0.0290
70  122 0.43010  0.0264
71  121 0.43080  0.0241
72  122 0.43140  0.0220
73  122 0.43200  0.0200
74  122 0.43250  0.0182
75  122 0.43290  0.0166
76  122 0.43330  0.0151
77  122 0.43370  0.0138
78  121 0.43400  0.0126
79  122 0.43420  0.0114
80  123 0.43440  0.0104
81  123 0.43460  0.0095
82  123 0.43480  0.0087
83  123 0.43490  0.0079
84  123 0.43500  0.0072
85  123 0.43520  0.0066
86  123 0.43530  0.0060
87  123 0.43530  0.0054
88  123 0.43540  0.0050
89  123 0.43550  0.0045
90  123 0.43550  0.0041
91  123 0.43560  0.0037
92  123 0.43560  0.0034
93  123 0.43560  0.0031
94  123 0.43570  0.0028
95  123 0.43570  0.0026
96  123 0.43570  0.0024
97  123 0.43570  0.0021
98  123 0.43580  0.0020
99  123 0.43580  0.0018
100 123 0.43580  0.0016
