
Call:  glmnet(x = x, y = y, alpha = 0.4, family = "gaussian", standardize = TRUE) 

    Df    %Dev  Lambda
1    0 0.00000 1.25400
2    1 0.00747 1.14300
3    1 0.01411 1.04100
4    1 0.02000 0.94900
5    1 0.02518 0.86470
6    2 0.03109 0.78790
7    2 0.03852 0.71790
8    3 0.04629 0.65410
9    3 0.05323 0.59600
10   4 0.06021 0.54300
11   7 0.07101 0.49480
12   8 0.08479 0.45080
13  13 0.10120 0.41080
14  17 0.11970 0.37430
15  20 0.13850 0.34100
16  26 0.16040 0.31070
17  33 0.18110 0.28310
18  39 0.20140 0.25800
19  42 0.22160 0.23510
20  53 0.24060 0.21420
21  56 0.25920 0.19520
22  57 0.27570 0.17780
23  57 0.28970 0.16200
24  58 0.30280 0.14760
25  59 0.31440 0.13450
26  59 0.32420 0.12260
27  62 0.33330 0.11170
28  64 0.34190 0.10180
29  64 0.34940 0.09272
30  67 0.35590 0.08448
31  69 0.36240 0.07697
32  69 0.36830 0.07014
33  72 0.37340 0.06391
34  76 0.37870 0.05823
35  78 0.38350 0.05306
36  80 0.38780 0.04834
37  82 0.39150 0.04405
38  87 0.39490 0.04013
39  87 0.39840 0.03657
40  87 0.40150 0.03332
41  88 0.40440 0.03036
42  89 0.40680 0.02766
43  89 0.40900 0.02521
44  91 0.41090 0.02297
45  93 0.41280 0.02093
46  93 0.41440 0.01907
47  95 0.41590 0.01737
48  98 0.41740 0.01583
49 101 0.41860 0.01442
50 102 0.41980 0.01314
51 103 0.42080 0.01197
52 105 0.42190 0.01091
53 106 0.42290 0.00994
54 106 0.42370 0.00906
55 105 0.42440 0.00825
56 105 0.42490 0.00752
57 105 0.42540 0.00685
58 105 0.42580 0.00624
59 106 0.42610 0.00569
60 106 0.42650 0.00518
61 107 0.42670 0.00472
62 107 0.42700 0.00430
63 106 0.42720 0.00392
64 106 0.42730 0.00357
65 106 0.42740 0.00326
66 107 0.42750 0.00297
67 107 0.42760 0.00270
68 107 0.42770 0.00246
69 107 0.42780 0.00224
70 106 0.42790 0.00204
71 106 0.42790 0.00186
72 105 0.42800 0.00170
73 105 0.42800 0.00155
74 105 0.42800 0.00141
75 105 0.42800 0.00128
76 106 0.42810 0.00117
77 106 0.42810 0.00107
78 106 0.42810 0.00097
79 106 0.42810 0.00088
80 106 0.42810 0.00081
81 107 0.42810 0.00073
82 106 0.42810 0.00067
