
Call:  glmnet(x = x, y = y, alpha = 0.25, family = "gaussian", standardize = TRUE) 

   Df     %Dev  Lambda
1   0 0.000000 2.15500
2   1 0.006609 1.96300
3   2 0.014430 1.78900
4   2 0.025490 1.63000
5   2 0.035700 1.48500
6   2 0.045070 1.35300
7   2 0.053610 1.23300
8   2 0.061350 1.12400
9   3 0.069260 1.02400
10  5 0.079050 0.93280
11  5 0.089550 0.84990
12  6 0.099300 0.77440
13  6 0.108000 0.70560
14 10 0.119000 0.64290
15 11 0.132000 0.58580
16 13 0.145400 0.53380
17 14 0.157600 0.48630
18 15 0.169200 0.44310
19 15 0.179400 0.40380
20 17 0.188600 0.36790
21 17 0.196800 0.33520
22 18 0.204000 0.30540
23 18 0.210400 0.27830
24 19 0.216000 0.25360
25 19 0.220700 0.23110
26 23 0.226500 0.21050
27 24 0.232300 0.19180
28 24 0.237300 0.17480
29 25 0.241900 0.15930
30 25 0.245800 0.14510
31 26 0.249200 0.13220
32 27 0.252400 0.12050
33 27 0.255100 0.10980
34 29 0.257500 0.10000
35 29 0.259800 0.09113
36 30 0.261900 0.08304
37 30 0.263700 0.07566
38 31 0.265300 0.06894
39 31 0.266700 0.06281
40 32 0.267900 0.05723
41 32 0.268900 0.05215
42 32 0.269800 0.04752
43 33 0.270500 0.04330
44 32 0.271100 0.03945
45 32 0.271700 0.03594
46 33 0.272100 0.03275
47 33 0.272500 0.02984
48 33 0.272900 0.02719
49 34 0.273100 0.02478
50 35 0.273400 0.02257
51 35 0.273600 0.02057
52 35 0.273800 0.01874
53 35 0.273900 0.01708
54 35 0.274000 0.01556
55 35 0.274100 0.01418
56 35 0.274200 0.01292
57 35 0.274300 0.01177
58 35 0.274400 0.01072
59 36 0.274400 0.00977
60 36 0.274500 0.00890
61 37 0.274500 0.00811
62 37 0.274500 0.00739
63 37 0.274600 0.00674
64 37 0.274600 0.00614
65 37 0.274600 0.00559
66 37 0.274600 0.00509
67 37 0.274600 0.00464
68 37 0.274600 0.00423
69 37 0.274600 0.00385
70 37 0.274700 0.00351
71 37 0.274700 0.00320
72 37 0.274700 0.00292
73 37 0.274700 0.00266
74 37 0.274700 0.00242
75 37 0.274700 0.00221
76 37 0.274700 0.00201
77 37 0.274700 0.00183
