
Call:  glmnet(x = x, y = y, alpha = 0.75, family = "gaussian", standardize = TRUE) 

    Df    %Dev  Lambda
1    0 0.00000 0.51060
2    3 0.00842 0.46520
3    3 0.01753 0.42390
4    5 0.02680 0.38620
5    7 0.03948 0.35190
6    9 0.05240 0.32070
7   10 0.06399 0.29220
8   22 0.07598 0.26620
9   24 0.09223 0.24260
10  27 0.11010 0.22100
11  32 0.12890 0.20140
12  37 0.14670 0.18350
13  36 0.16360 0.16720
14  39 0.17980 0.15230
15  41 0.19500 0.13880
16  44 0.20930 0.12650
17  45 0.22290 0.11520
18  52 0.23520 0.10500
19  53 0.24720 0.09567
20  54 0.25780 0.08717
21  56 0.26780 0.07943
22  58 0.27700 0.07237
23  58 0.28550 0.06594
24  61 0.29280 0.06009
25  64 0.29940 0.05475
26  68 0.30530 0.04988
27  71 0.31100 0.04545
28  76 0.31670 0.04141
29  79 0.32230 0.03774
30  81 0.32780 0.03438
31  81 0.33300 0.03133
32  84 0.33730 0.02855
33  83 0.34120 0.02601
34  84 0.34420 0.02370
35  84 0.34700 0.02159
36  85 0.34960 0.01968
37  86 0.35180 0.01793
38  87 0.35390 0.01633
39  87 0.35570 0.01488
40  89 0.35740 0.01356
41  89 0.35900 0.01236
42  89 0.36020 0.01126
43  92 0.36130 0.01026
44  92 0.36230 0.00935
45  92 0.36310 0.00852
46  92 0.36380 0.00776
47  95 0.36440 0.00707
48  94 0.36490 0.00644
49  94 0.36530 0.00587
50  94 0.36570 0.00535
51  94 0.36600 0.00487
52  95 0.36630 0.00444
53  96 0.36650 0.00405
54  96 0.36670 0.00369
55  96 0.36680 0.00336
56  96 0.36690 0.00306
57  97 0.36710 0.00279
58  98 0.36710 0.00254
59 101 0.36720 0.00231
60 101 0.36730 0.00211
61 101 0.36740 0.00192
62 101 0.36740 0.00175
63 101 0.36740 0.00160
64 109 0.36750 0.00145
65 113 0.36750 0.00132
66 113 0.36750 0.00121
67 113 0.36750 0.00110
68 113 0.36760 0.00100
69 113 0.36760 0.00091
70 114 0.36760 0.00083
71 113 0.36760 0.00076
72 112 0.36760 0.00069
73 113 0.36760 0.00063
74 113 0.36760 0.00057
75 113 0.36760 0.00052
76 113 0.36770 0.00048
77 114 0.36770 0.00043
