
Call:  glmnet(x = x, y = y, alpha = 0.55, family = "gaussian", standardize = FALSE) 

   Df    %Dev  Lambda
1   0 0.00000 0.37190
2   1 0.00657 0.33890
3   2 0.01251 0.30880
4   2 0.01790 0.28130
5   3 0.02330 0.25630
6   4 0.03049 0.23360
7   4 0.03996 0.21280
8   4 0.04829 0.19390
9   5 0.05573 0.17670
10  5 0.06320 0.16100
11  6 0.06979 0.14670
12  7 0.07554 0.13370
13  9 0.08553 0.12180
14 11 0.09604 0.11100
15 11 0.10630 0.10110
16 12 0.11580 0.09212
17 13 0.12490 0.08394
18 16 0.13410 0.07648
19 17 0.14390 0.06969
20 19 0.15390 0.06350
21 19 0.16280 0.05786
22 20 0.17090 0.05272
23 25 0.17920 0.04803
24 26 0.18810 0.04377
25 27 0.19690 0.03988
26 30 0.20620 0.03634
27 33 0.21510 0.03311
28 36 0.22390 0.03017
29 36 0.23230 0.02749
30 43 0.24110 0.02504
31 45 0.25000 0.02282
32 47 0.25800 0.02079
33 48 0.26540 0.01895
34 51 0.27270 0.01726
35 51 0.27910 0.01573
36 53 0.28490 0.01433
37 54 0.29020 0.01306
38 56 0.29490 0.01190
39 57 0.29920 0.01084
40 58 0.30300 0.00988
41 60 0.30640 0.00900
42 61 0.30950 0.00820
43 61 0.31240 0.00747
44 62 0.31490 0.00681
45 64 0.31710 0.00620
46 65 0.31900 0.00565
47 65 0.32070 0.00515
48 65 0.32220 0.00469
49 65 0.32340 0.00428
50 65 0.32450 0.00390
51 65 0.32540 0.00355
52 67 0.32620 0.00324
53 67 0.32690 0.00295
54 66 0.32760 0.00268
55 66 0.32810 0.00245
56 66 0.32860 0.00223
57 66 0.32900 0.00203
58 66 0.32930 0.00185
59 66 0.32960 0.00169
60 66 0.32980 0.00154
61 66 0.33000 0.00140
62 66 0.33020 0.00128
63 66 0.33030 0.00116
64 66 0.33040 0.00106
65 65 0.33050 0.00097
66 65 0.33060 0.00088
67 65 0.33070 0.00080
68 66 0.33070 0.00073
69 66 0.33080 0.00067
70 67 0.33080 0.00061
71 67 0.33090 0.00055
72 67 0.33090 0.00050
73 67 0.33090 0.00046
74 67 0.33100 0.00042
75 67 0.33100 0.00038
76 67 0.33100 0.00035
77 67 0.33100 0.00032
78 67 0.33100 0.00029
79 67 0.33100 0.00026
80 67 0.33100 0.00024
81 67 0.33110 0.00022
82 67 0.33110 0.00020
83 67 0.33110 0.00018
84 67 0.33110 0.00016
85 67 0.33110 0.00015
86 67 0.33110 0.00014
87 67 0.33110 0.00012
