
Call:  glmnet(x = x, y = y, alpha = 0.8, family = "gaussian", standardize = TRUE) 

   Df    %Dev  Lambda
1   0 0.00000 0.63760
2   1 0.00885 0.58090
3   1 0.01629 0.52930
4   1 0.02256 0.48230
5   1 0.02782 0.43950
6   1 0.03224 0.40040
7   2 0.03609 0.36480
8   3 0.04547 0.33240
9   4 0.05666 0.30290
10  6 0.06878 0.27600
11  7 0.08164 0.25150
12  9 0.09515 0.22910
13 12 0.10940 0.20880
14 15 0.12670 0.19020
15 18 0.14400 0.17330
16 18 0.15930 0.15790
17 21 0.17280 0.14390
18 26 0.18660 0.13110
19 29 0.19930 0.11950
20 31 0.21080 0.10890
21 32 0.22190 0.09919
22 33 0.23150 0.09037
23 36 0.24090 0.08235
24 38 0.25060 0.07503
25 38 0.25930 0.06836
26 39 0.26700 0.06229
27 40 0.27360 0.05676
28 42 0.27950 0.05172
29 44 0.28520 0.04712
30 48 0.29090 0.04293
31 55 0.29640 0.03912
32 55 0.30100 0.03565
33 57 0.30510 0.03248
34 57 0.30860 0.02959
35 59 0.31150 0.02696
36 61 0.31420 0.02457
37 63 0.31670 0.02239
38 64 0.31880 0.02040
39 65 0.32070 0.01859
40 66 0.32240 0.01693
41 65 0.32380 0.01543
42 65 0.32490 0.01406
43 65 0.32590 0.01281
44 66 0.32670 0.01167
45 67 0.32740 0.01064
46 67 0.32800 0.00969
47 67 0.32850 0.00883
48 67 0.32890 0.00804
49 67 0.32920 0.00733
50 67 0.32950 0.00668
51 67 0.32980 0.00609
52 68 0.33000 0.00554
53 69 0.33010 0.00505
54 69 0.33030 0.00460
55 69 0.33040 0.00420
56 69 0.33050 0.00382
57 70 0.33060 0.00348
58 71 0.33070 0.00317
59 71 0.33070 0.00289
60 71 0.33080 0.00263
61 71 0.33080 0.00240
62 71 0.33090 0.00219
63 71 0.33090 0.00199
64 72 0.33090 0.00182
65 72 0.33100 0.00166
66 72 0.33100 0.00151
67 72 0.33100 0.00137
68 72 0.33100 0.00125
69 72 0.33100 0.00114
70 72 0.33100 0.00104
71 72 0.33100 0.00095
72 72 0.33100 0.00086
73 72 0.33110 0.00079
74 72 0.33110 0.00072
75 72 0.33110 0.00065
76 72 0.33110 0.00059
77 72 0.33110 0.00054
78 72 0.33110 0.00049
