
Call:  glmnet(x = x, y = y, alpha = 0.04, family = "gaussian", standardize = FALSE) 

     Df    %Dev Lambda
1     0 0.00000 46.690
2     1 0.00030 42.540
3     2 0.00110 38.760
4     3 0.00325 35.320
5     3 0.00604 32.180
6     3 0.00853 29.320
7     3 0.01074 26.720
8     3 0.01270 24.340
9     3 0.01442 22.180
10    3 0.01593 20.210
11    3 0.01725 18.410
12    3 0.01840 16.780
13    4 0.01944 15.290
14    4 0.02045 13.930
15    5 0.02139 12.690
16    5 0.02245 11.570
17    5 0.02337 10.540
18    6 0.02419  9.602
19    6 0.02523  8.749
20    7 0.02620  7.971
21    7 0.02710  7.263
22    7 0.02789  6.618
23    8 0.02866  6.030
24    8 0.02939  5.494
25    8 0.03002  5.006
26    8 0.03056  4.562
27    8 0.03102  4.156
28    9 0.03155  3.787
29   10 0.03241  3.451
30   10 0.03354  3.144
31   11 0.03502  2.865
32   13 0.03680  2.610
33   13 0.03898  2.378
34   15 0.04151  2.167
35   16 0.04440  1.975
36   19 0.04763  1.799
37   21 0.05128  1.639
38   21 0.05522  1.494
39   22 0.05926  1.361
40   26 0.06380  1.240
41   26 0.06863  1.130
42   28 0.07361  1.030
43   34 0.07902  0.938
44   36 0.08486  0.855
45   39 0.09089  0.779
46   41 0.09714  0.710
47   47 0.10370  0.647
48   51 0.11060  0.589
49   55 0.11800  0.537
50   57 0.12550  0.489
51   60 0.13310  0.446
52   63 0.14070  0.406
53   66 0.14860  0.370
54   70 0.15650  0.337
55   75 0.16440  0.307
56   78 0.17240  0.280
57   81 0.18040  0.255
58   81 0.18850  0.232
59   82 0.19650  0.212
60   86 0.20440  0.193
61   89 0.21230  0.176
62   91 0.22010  0.160
63   91 0.22790  0.146
64   91 0.23560  0.133
65   95 0.24320  0.121
66   94 0.25070  0.110
67   98 0.25810  0.101
68  101 0.26550  0.092
69  104 0.27270  0.084
70  103 0.27980  0.076
71  107 0.28670  0.069
72  109 0.29360  0.063
73  111 0.30030  0.058
74  113 0.30690  0.052
75  112 0.31340  0.048
76  114 0.31960  0.044
77  113 0.32580  0.040
78  115 0.33170  0.036
79  118 0.33750  0.033
80  119 0.34310  0.030
81  120 0.34850  0.027
82  123 0.35380  0.025
83  123 0.35890  0.023
84  123 0.36380  0.021
85  121 0.36860  0.019
86  123 0.37310  0.017
87  123 0.37750  0.016
88  124 0.38170  0.014
89  128 0.38580  0.013
90  130 0.38980  0.012
91  130 0.39350  0.011
92  130 0.39710  0.010
93  132 0.40050  0.009
94  132 0.40380  0.008
95  131 0.40680  0.007
96  131 0.40970  0.007
97  131 0.41250  0.006
98  131 0.41510  0.006
99  130 0.41750  0.005
100 131 0.41980  0.005
