
Call:  glmnet(x = x, y = y, alpha = 0.5, family = "gaussian", standardize = FALSE) 

     Df    %Dev Lambda
1     0 0.00000 3.7350
2     1 0.00031 3.4030
3     2 0.00139 3.1010
4     3 0.00438 2.8250
5     3 0.00788 2.5740
6     3 0.01080 2.3460
7     3 0.01323 2.1370
8     3 0.01526 1.9470
9     3 0.01694 1.7740
10    3 0.01835 1.6170
11    3 0.01952 1.4730
12    3 0.02049 1.3420
13    4 0.02138 1.2230
14    4 0.02221 1.1140
15    5 0.02302 1.0150
16    5 0.02396 0.9252
17    5 0.02474 0.8430
18    6 0.02545 0.7681
19    6 0.02646 0.6999
20    7 0.02738 0.6377
21    7 0.02823 0.5811
22    7 0.02895 0.5294
23    8 0.02967 0.4824
24    8 0.03033 0.4395
25    8 0.03088 0.4005
26    8 0.03133 0.3649
27    8 0.03172 0.3325
28    9 0.03239 0.3030
29   10 0.03429 0.2760
30   10 0.03814 0.2515
31   11 0.04395 0.2292
32   13 0.04967 0.2088
33   15 0.05723 0.1903
34   16 0.06607 0.1734
35   17 0.07562 0.1580
36   19 0.08495 0.1439
37   21 0.09598 0.1311
38   22 0.10660 0.1195
39   25 0.11600 0.1089
40   27 0.12540 0.0992
41   29 0.13570 0.0904
42   31 0.14570 0.0824
43   34 0.15550 0.0750
44   36 0.16600 0.0684
45   38 0.17650 0.0623
46   38 0.18640 0.0568
47   40 0.19510 0.0517
48   43 0.20480 0.0471
49   43 0.21420 0.0429
50   48 0.22300 0.0391
51   53 0.23270 0.0356
52   60 0.24380 0.0325
53   64 0.25650 0.0296
54   67 0.26930 0.0270
55   70 0.28170 0.0246
56   73 0.29380 0.0224
57   76 0.30570 0.0204
58   78 0.31700 0.0186
59   81 0.32760 0.0169
60   84 0.33740 0.0154
61   85 0.34630 0.0141
62   87 0.35460 0.0128
63   87 0.36210 0.0117
64   89 0.36880 0.0106
65   91 0.37500 0.0097
66   93 0.38060 0.0088
67   95 0.38600 0.0080
68   96 0.39110 0.0073
69   99 0.39570 0.0067
70  102 0.40020 0.0061
71  104 0.40430 0.0055
72  102 0.40840 0.0051
73  101 0.41180 0.0046
74  103 0.41480 0.0042
75  103 0.41760 0.0038
76  104 0.42010 0.0035
77  104 0.42230 0.0032
78  108 0.42460 0.0029
79  109 0.42670 0.0026
80  111 0.42850 0.0024
81  112 0.43020 0.0022
82  112 0.43180 0.0020
83  115 0.43320 0.0018
84  115 0.43450 0.0017
85  117 0.43570 0.0015
86  117 0.43690 0.0014
87  115 0.43790 0.0013
88  117 0.43880 0.0011
89  119 0.43960 0.0010
90  118 0.44030 0.0009
91  120 0.44080 0.0009
92  120 0.44140 0.0008
93  122 0.44190 0.0007
94  123 0.44230 0.0007
95  124 0.44270 0.0006
96  124 0.44300 0.0005
97  125 0.44330 0.0005
98  125 0.44360 0.0004
99  126 0.44380 0.0004
100 128 0.44400 0.0004
