
Call:  glmnet(x = x, y = y, alpha = 0, family = "gaussian", standardize = TRUE) 

    Df     %Dev Lambda
1   48 0.000000 479.60
2   48 0.002082 437.00
3   48 0.002282 398.20
4   48 0.002503 362.80
5   48 0.002744 330.60
6   48 0.003008 301.20
7   48 0.003297 274.50
8   48 0.003613 250.10
9   48 0.003959 227.90
10  48 0.004338 207.60
11  48 0.004752 189.20
12  48 0.005205 172.40
13  48 0.005699 157.10
14  48 0.006240 143.10
15  48 0.006830 130.40
16  48 0.007475 118.80
17  48 0.008178 108.30
18  48 0.008944  98.64
19  48 0.009779  89.87
20  48 0.010690  81.89
21  48 0.011680  74.62
22  48 0.012750  67.99
23  48 0.013920  61.95
24  48 0.015190  56.44
25  48 0.016570  51.43
26  48 0.018060  46.86
27  48 0.019670  42.70
28  48 0.021420  38.90
29  48 0.023300  35.45
30  48 0.025330  32.30
31  48 0.027510  29.43
32  48 0.029860  26.82
33  48 0.032380  24.43
34  48 0.035080  22.26
35  48 0.037960  20.28
36  48 0.041040  18.48
37  48 0.044310  16.84
38  48 0.047790  15.34
39  48 0.051480  13.98
40  48 0.055370  12.74
41  48 0.059480  11.61
42  48 0.063800  10.58
43  48 0.068330   9.64
44  48 0.073060   8.78
45  48 0.077990   8.00
46  48 0.083120   7.29
47  48 0.088430   6.64
48  48 0.093900   6.05
49  48 0.099540   5.51
50  48 0.105300   5.03
51  48 0.111200   4.58
52  48 0.117200   4.17
53  48 0.123300   3.80
54  48 0.129500   3.46
55  48 0.135700   3.16
56  48 0.141900   2.88
57  48 0.148100   2.62
58  48 0.154300   2.39
59  48 0.160500   2.17
60  48 0.166600   1.98
61  48 0.172700   1.81
62  48 0.178700   1.64
63  48 0.184500   1.50
64  48 0.190300   1.37
65  48 0.195900   1.25
66  48 0.201400   1.13
67  48 0.206800   1.03
68  48 0.212000   0.94
69  48 0.217000   0.86
70  48 0.221900   0.78
71  48 0.226700   0.71
72  48 0.231200   0.65
73  48 0.235600   0.59
74  48 0.239800   0.54
75  48 0.243900   0.49
76  48 0.247700   0.45
77  48 0.251400   0.41
78  48 0.254900   0.37
79  48 0.258200   0.34
80  48 0.261300   0.31
81  48 0.264200   0.28
82  48 0.266900   0.26
83  48 0.269400   0.23
84  48 0.271800   0.21
85  48 0.274000   0.19
86  48 0.276000   0.18
87  48 0.277800   0.16
88  48 0.279500   0.15
89  48 0.281000   0.13
90  48 0.282300   0.12
91  48 0.283600   0.11
92  48 0.284700   0.10
93  48 0.285700   0.09
94  48 0.286500   0.08
95  48 0.287300   0.08
96  48 0.288000   0.07
97  48 0.288600   0.06
98  48 0.289100   0.06
99  48 0.289500   0.05
100 48 0.289900   0.05
