
Call:  glmnet(x = x, y = y, alpha = 0.45, family = "gaussian", standardize = TRUE) 

    Df    %Dev  Lambda
1    0 0.00000 0.86070
2    1 0.00523 0.78420
3    1 0.00980 0.71450
4    2 0.01706 0.65110
5    2 0.02392 0.59320
6    3 0.02997 0.54050
7    4 0.03635 0.49250
8    4 0.04302 0.44870
9    7 0.05119 0.40890
10  11 0.06559 0.37260
11  15 0.08037 0.33950
12  18 0.09603 0.30930
13  22 0.11240 0.28180
14  27 0.13010 0.25680
15  33 0.14920 0.23400
16  35 0.16830 0.21320
17  38 0.18620 0.19430
18  40 0.20220 0.17700
19  52 0.21820 0.16130
20  56 0.23410 0.14690
21  58 0.24790 0.13390
22  66 0.26090 0.12200
23  77 0.27420 0.11120
24  76 0.28670 0.10130
25  81 0.29780 0.09229
26  83 0.30820 0.08409
27  86 0.31710 0.07662
28  89 0.32510 0.06981
29  93 0.33200 0.06361
30  99 0.33910 0.05796
31  98 0.34570 0.05281
32 102 0.35210 0.04812
33 104 0.35750 0.04384
34 104 0.36210 0.03995
35 104 0.36590 0.03640
36 110 0.36910 0.03317
37 114 0.37200 0.03022
38 113 0.37470 0.02753
39 113 0.37730 0.02509
40 112 0.37950 0.02286
41 114 0.38170 0.02083
42 114 0.38360 0.01898
43 118 0.38530 0.01729
44 120 0.38690 0.01576
45 122 0.38840 0.01436
46 123 0.38980 0.01308
47 128 0.39120 0.01192
48 129 0.39280 0.01086
49 129 0.39410 0.00989
50 129 0.39510 0.00902
51 130 0.39600 0.00822
52 132 0.39680 0.00749
53 132 0.39750 0.00682
54 133 0.39840 0.00622
55 134 0.39900 0.00566
56 133 0.39950 0.00516
57 134 0.40000 0.00470
58 135 0.40040 0.00428
59 135 0.40070 0.00390
60 135 0.40100 0.00356
61 135 0.40120 0.00324
62 135 0.40140 0.00295
63 136 0.40160 0.00269
64 139 0.40180 0.00245
65 138 0.40190 0.00223
66 138 0.40200 0.00204
67 138 0.40220 0.00185
68 138 0.40230 0.00169
69 139 0.40240 0.00154
70 141 0.40240 0.00140
71 140 0.40250 0.00128
72 141 0.40250 0.00116
73 142 0.40260 0.00106
74 141 0.40260 0.00097
75 141 0.40270 0.00088
76 141 0.40270 0.00080
77 140 0.40270 0.00073
78 140 0.40270 0.00067
79 141 0.40280 0.00061
80 142 0.40280 0.00055
81 142 0.40280 0.00050
82 144 0.40280 0.00046
83 143 0.40280 0.00042
84 144 0.40280 0.00038
85 145 0.40280 0.00035
