
Call:  glmnet(x = x, y = y, alpha = 0.6, family = "gaussian", standardize = FALSE) 

     Df    %Dev  Lambda
1     0 0.00000 0.81510
2     1 0.00041 0.74270
3     1 0.00076 0.67670
4     1 0.00104 0.61660
5     1 0.00128 0.56180
6     1 0.00147 0.51190
7     1 0.00164 0.46640
8     2 0.00192 0.42500
9     2 0.00242 0.38720
10    3 0.00287 0.35280
11    4 0.00373 0.32150
12    5 0.00470 0.29290
13    5 0.00560 0.26690
14    7 0.01307 0.24320
15    7 0.02158 0.22160
16    7 0.02900 0.20190
17    9 0.03550 0.18400
18   10 0.04223 0.16760
19   13 0.04924 0.15270
20   16 0.05707 0.13920
21   17 0.06803 0.12680
22   17 0.07777 0.11550
23   17 0.08617 0.10530
24   21 0.09452 0.09592
25   22 0.10300 0.08740
26   24 0.11140 0.07963
27   26 0.12070 0.07256
28   27 0.12950 0.06611
29   31 0.13800 0.06024
30   34 0.14760 0.05489
31   36 0.15630 0.05001
32   38 0.16490 0.04557
33   42 0.17370 0.04152
34   44 0.18340 0.03783
35   46 0.19230 0.03447
36   52 0.20210 0.03141
37   56 0.21210 0.02862
38   58 0.22280 0.02608
39   62 0.23430 0.02376
40   64 0.24520 0.02165
41   66 0.25560 0.01973
42   68 0.26500 0.01797
43   72 0.27400 0.01638
44   76 0.28320 0.01492
45   80 0.29250 0.01360
46   83 0.30180 0.01239
47   82 0.31030 0.01129
48   83 0.31780 0.01029
49   85 0.32450 0.00937
50   84 0.33060 0.00854
51   86 0.33610 0.00778
52   91 0.34110 0.00709
53   96 0.34630 0.00646
54   97 0.35120 0.00589
55   98 0.35570 0.00536
56  100 0.36000 0.00489
57  100 0.36380 0.00445
58  101 0.36730 0.00406
59  102 0.37040 0.00370
60  102 0.37310 0.00337
61  106 0.37550 0.00307
62  107 0.37790 0.00280
63  108 0.38010 0.00255
64  108 0.38230 0.00232
65  109 0.38420 0.00212
66  111 0.38600 0.00193
67  112 0.38750 0.00176
68  113 0.38900 0.00160
69  114 0.39020 0.00146
70  117 0.39160 0.00133
71  118 0.39290 0.00121
72  119 0.39410 0.00110
73  119 0.39520 0.00100
74  119 0.39620 0.00092
75  122 0.39700 0.00083
76  122 0.39770 0.00076
77  122 0.39840 0.00069
78  122 0.39900 0.00063
79  122 0.39940 0.00058
80  122 0.39990 0.00052
81  123 0.40020 0.00048
82  125 0.40050 0.00044
83  127 0.40080 0.00040
84  128 0.40110 0.00036
85  127 0.40130 0.00033
86  126 0.40150 0.00030
87  126 0.40170 0.00027
88  126 0.40180 0.00025
89  127 0.40190 0.00023
90  128 0.40210 0.00021
91  129 0.40220 0.00019
92  129 0.40230 0.00017
93  130 0.40230 0.00016
94  130 0.40240 0.00014
95  131 0.40250 0.00013
96  132 0.40250 0.00012
97  133 0.40250 0.00011
98  133 0.40250 0.00010
99  133 0.40260 0.00009
100 133 0.40260 0.00008
