
Call:  glmnet(x = x, y = y, alpha = 0, family = "gaussian", standardize = FALSE) 

     Df     %Dev  Lambda
1   291 0.000000 1103.00
2   291 0.003003 1005.00
3   291 0.003244  915.50
4   291 0.003502  834.20
5   291 0.003776  760.10
6   291 0.004067  692.50
7   291 0.004375  631.00
8   291 0.004700  575.00
9   291 0.005044  523.90
10  291 0.005405  477.30
11  291 0.005785  434.90
12  291 0.006184  396.30
13  291 0.006601  361.10
14  291 0.007036  329.00
15  291 0.007490  299.80
16  291 0.007962  273.10
17  291 0.008452  248.90
18  291 0.008960  226.80
19  291 0.009484  206.60
20  291 0.010030  188.30
21  291 0.010580  171.50
22  291 0.011160  156.30
23  291 0.011750  142.40
24  291 0.012350  129.80
25  291 0.012970  118.20
26  291 0.013600  107.70
27  291 0.014250   98.16
28  291 0.014910   89.44
29  291 0.015580   81.50
30  291 0.016270   74.26
31  291 0.016980   67.66
32  291 0.017700   61.65
33  291 0.018440   56.17
34  291 0.019200   51.18
35  291 0.019990   46.64
36  291 0.020790   42.49
37  291 0.021630   38.72
38  291 0.022500   35.28
39  291 0.023400   32.14
40  291 0.024340   29.29
41  291 0.025320   26.69
42  291 0.026360   24.32
43  291 0.027440   22.16
44  291 0.028580   20.19
45  291 0.029790   18.39
46  291 0.031060   16.76
47  291 0.032410   15.27
48  291 0.033840   13.91
49  291 0.035360   12.68
50  291 0.036970   11.55
51  291 0.038670   10.53
52  291 0.040490    9.59
53  291 0.042410    8.74
54  291 0.044450    7.96
55  291 0.046610    7.25
56  291 0.048910    6.61
57  291 0.051340    6.02
58  291 0.053910    5.49
59  291 0.056620    5.00
60  291 0.059490    4.56
61  291 0.062510    4.15
62  291 0.065690    3.78
63  291 0.069030    3.45
64  291 0.072530    3.14
65  291 0.076200    2.86
66  291 0.080040    2.61
67  291 0.084040    2.38
68  291 0.088210    2.17
69  291 0.092540    1.97
70  291 0.097030    1.80
71  291 0.101700    1.64
72  291 0.106500    1.49
73  291 0.111400    1.36
74  291 0.116500    1.24
75  291 0.121700    1.13
76  291 0.127000    1.03
77  291 0.132500    0.94
78  291 0.138000    0.85
79  291 0.143700    0.78
80  291 0.149400    0.71
81  291 0.155200    0.65
82  291 0.161100    0.59
83  291 0.167000    0.54
84  291 0.173000    0.49
85  291 0.179000    0.45
86  291 0.185100    0.41
87  291 0.191100    0.37
88  291 0.197200    0.34
89  291 0.203300    0.31
90  291 0.209400    0.28
91  291 0.215500    0.25
92  291 0.221600    0.23
93  291 0.227600    0.21
94  291 0.233700    0.19
95  291 0.239700    0.18
96  291 0.245700    0.16
97  291 0.251600    0.15
98  291 0.257600    0.13
99  291 0.263400    0.12
100 291 0.269200    0.11
