
Call:  glmnet(x = x, y = y, alpha = 0.3, family = "gaussian", standardize = FALSE) 

     Df    %Dev Lambda
1     0 0.00000 3.6760
2     1 0.00041 3.3490
3     1 0.00076 3.0520
4     2 0.00112 2.7810
5     2 0.00226 2.5340
6     2 0.00322 2.3080
7     2 0.00402 2.1030
8     2 0.00468 1.9170
9     2 0.00524 1.7460
10    3 0.00597 1.5910
11    3 0.00662 1.4500
12    3 0.00716 1.3210
13    3 0.00761 1.2040
14    3 0.00799 1.0970
15    4 0.00838 0.9993
16    5 0.00894 0.9105
17    6 0.00948 0.8296
18   11 0.01042 0.7559
19   12 0.01155 0.6888
20   13 0.01273 0.6276
21   16 0.01867 0.5718
22   16 0.02617 0.5210
23   18 0.03338 0.4747
24   19 0.04144 0.4326
25   21 0.04988 0.3941
26   21 0.05839 0.3591
27   23 0.06750 0.3272
28   23 0.07579 0.2981
29   24 0.08323 0.2717
30   25 0.08990 0.2475
31   29 0.09863 0.2255
32   29 0.10770 0.2055
33   31 0.11610 0.1872
34   34 0.12440 0.1706
35   34 0.13310 0.1555
36   36 0.14110 0.1416
37   41 0.14960 0.1291
38   46 0.15910 0.1176
39   48 0.16850 0.1071
40   50 0.17790 0.0976
41   54 0.18710 0.0890
42   56 0.19610 0.0810
43   59 0.20480 0.0738
44   63 0.21370 0.0673
45   68 0.22360 0.0613
46   69 0.23290 0.0559
47   73 0.24170 0.0509
48   84 0.25140 0.0464
49   84 0.26140 0.0423
50   90 0.27110 0.0385
51   90 0.28030 0.0351
52   91 0.28900 0.0320
53   94 0.29710 0.0291
54   96 0.30490 0.0265
55   99 0.31230 0.0242
56  105 0.31960 0.0220
57  108 0.32660 0.0201
58  111 0.33330 0.0183
59  114 0.33980 0.0167
60  117 0.34600 0.0152
61  122 0.35180 0.0138
62  123 0.35730 0.0126
63  125 0.36240 0.0115
64  126 0.36760 0.0105
65  131 0.37260 0.0095
66  135 0.37720 0.0087
67  137 0.38150 0.0079
68  138 0.38550 0.0072
69  136 0.38920 0.0066
70  139 0.39250 0.0060
71  146 0.39560 0.0055
72  152 0.39850 0.0050
73  154 0.40130 0.0045
74  155 0.40390 0.0041
75  158 0.40650 0.0038
76  163 0.40870 0.0034
77  168 0.41090 0.0031
78  170 0.41300 0.0028
79  172 0.41520 0.0026
80  174 0.41660 0.0024
81  177 0.41820 0.0022
82  178 0.41960 0.0020
83  180 0.42080 0.0018
84  180 0.42190 0.0016
85  179 0.42280 0.0015
86  176 0.42390 0.0014
87  180 0.42460 0.0012
88  181 0.42540 0.0011
89  181 0.42610 0.0010
90  183 0.42680 0.0009
91  186 0.42730 0.0008
92  186 0.42790 0.0008
93  186 0.42830 0.0007
94  188 0.42870 0.0006
95  190 0.42910 0.0006
96  192 0.42940 0.0005
97  195 0.42970 0.0005
98  198 0.43000 0.0004
99  198 0.43020 0.0004
100 200 0.43040 0.0004
