
Call:  glmnet(x = x, y = y, alpha = 0.95, family = "gaussian", standardize = TRUE) 

    Df    %Dev  Lambda
1    0 0.00000 0.46920
2    1 0.00742 0.42760
3    2 0.01679 0.38960
4    3 0.02847 0.35500
5    3 0.03966 0.32340
6    3 0.04898 0.29470
7    5 0.05919 0.26850
8    7 0.07058 0.24470
9    7 0.08156 0.22290
10   8 0.09089 0.20310
11  10 0.10170 0.18510
12  13 0.11480 0.16860
13  16 0.12890 0.15370
14  25 0.14590 0.14000
15  30 0.16280 0.12760
16  38 0.18080 0.11620
17  43 0.19930 0.10590
18  47 0.21870 0.09650
19  50 0.23560 0.08793
20  60 0.25150 0.08012
21  62 0.26760 0.07300
22  70 0.28240 0.06651
23  74 0.29500 0.06060
24  83 0.30610 0.05522
25  87 0.31650 0.05031
26  95 0.32690 0.04585
27 101 0.33660 0.04177
28 102 0.34710 0.03806
29 109 0.35640 0.03468
30 114 0.36430 0.03160
31 117 0.37110 0.02879
32 119 0.37720 0.02623
33 122 0.38260 0.02390
34 126 0.38730 0.02178
35 127 0.39130 0.01985
36 128 0.39490 0.01808
37 135 0.39850 0.01648
38 138 0.40180 0.01501
39 155 0.40490 0.01368
40 165 0.40770 0.01246
41 168 0.41020 0.01136
42 167 0.41280 0.01035
43 174 0.41510 0.00943
44 177 0.41720 0.00859
45 180 0.41900 0.00783
46 182 0.42050 0.00713
47 185 0.42180 0.00650
48 189 0.42290 0.00592
49 189 0.42390 0.00540
50 191 0.42470 0.00492
51 190 0.42560 0.00448
52 191 0.42630 0.00408
53 191 0.42700 0.00372
54 195 0.42760 0.00339
55 203 0.42820 0.00309
56 205 0.42870 0.00281
57 209 0.42910 0.00256
58 210 0.42950 0.00233
59 209 0.42990 0.00213
60 209 0.43020 0.00194
61 207 0.43040 0.00177
62 208 0.43060 0.00161
63 210 0.43080 0.00147
64 210 0.43090 0.00134
65 212 0.43110 0.00122
66 215 0.43120 0.00111
67 215 0.43130 0.00101
68 217 0.43140 0.00092
69 217 0.43150 0.00084
70 219 0.43160 0.00076
71 220 0.43160 0.00070
72 218 0.43170 0.00063
73 218 0.43170 0.00058
74 218 0.43180 0.00053
75 221 0.43180 0.00048
76 220 0.43190 0.00044
77 221 0.43190 0.00040
78 223 0.43190 0.00036
79 223 0.43200 0.00033
80 225 0.43200 0.00030
81 227 0.43200 0.00027
82 228 0.43200 0.00025
83 229 0.43200 0.00023
84 231 0.43200 0.00021
85 232 0.43210 0.00019
86 233 0.43210 0.00017
87 234 0.43210 0.00016
88 237 0.43210 0.00014
89 240 0.43210 0.00013
90 238 0.43210 0.00012
91 242 0.43210 0.00011
