
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = FALSE) 

     Df    %Dev  Lambda
1     0 0.00000 1.10300
2     1 0.00042 1.00500
3     1 0.00076 0.91550
4     2 0.00113 0.83420
5     2 0.00230 0.76010
6     2 0.00327 0.69250
7     2 0.00407 0.63100
8     2 0.00474 0.57500
9     2 0.00530 0.52390
10    3 0.00602 0.47730
11    3 0.00667 0.43490
12    3 0.00721 0.39630
13    3 0.00766 0.36110
14    3 0.00803 0.32900
15    4 0.00843 0.29980
16    5 0.00898 0.27310
17    6 0.00952 0.24890
18   11 0.01047 0.22680
19   12 0.01161 0.20660
20   13 0.01298 0.18830
21   16 0.02349 0.17150
22   16 0.03605 0.15630
23   17 0.04651 0.14240
24   19 0.05626 0.12980
25   20 0.06553 0.11820
26   21 0.07439 0.10770
27   22 0.08341 0.09816
28   22 0.09157 0.08944
29   23 0.09842 0.08150
30   26 0.11000 0.07426
31   27 0.12160 0.06766
32   30 0.13130 0.06165
33   30 0.13950 0.05617
34   32 0.14790 0.05118
35   35 0.15680 0.04664
36   38 0.16580 0.04249
37   42 0.17620 0.03872
38   44 0.18670 0.03528
39   46 0.19720 0.03214
40   47 0.20590 0.02929
41   51 0.21470 0.02669
42   57 0.22690 0.02432
43   61 0.24020 0.02216
44   61 0.25140 0.02019
45   64 0.26110 0.01839
46   66 0.26940 0.01676
47   69 0.27720 0.01527
48   77 0.28780 0.01391
49   82 0.29830 0.01268
50   84 0.30930 0.01155
51   88 0.31940 0.01053
52   90 0.32880 0.00959
53   93 0.33710 0.00874
54   94 0.34470 0.00796
55   98 0.35170 0.00726
56  100 0.35890 0.00661
57  106 0.36560 0.00602
58  108 0.37150 0.00549
59  109 0.37650 0.00500
60  114 0.38100 0.00456
61  117 0.38570 0.00415
62  121 0.39030 0.00378
63  121 0.39430 0.00345
64  123 0.39780 0.00314
65  128 0.40100 0.00286
66  132 0.40380 0.00261
67  139 0.40640 0.00238
68  142 0.40920 0.00216
69  142 0.41180 0.00197
70  145 0.41400 0.00180
71  148 0.41590 0.00164
72  150 0.41760 0.00149
73  150 0.41890 0.00136
74  154 0.42020 0.00124
75  161 0.42130 0.00113
76  162 0.42230 0.00103
77  165 0.42340 0.00094
78  168 0.42440 0.00085
79  169 0.42540 0.00078
80  170 0.42620 0.00071
81  173 0.42700 0.00065
82  171 0.42760 0.00059
83  175 0.42810 0.00054
84  172 0.42860 0.00049
85  174 0.42900 0.00045
86  175 0.42930 0.00041
87  177 0.42950 0.00037
88  177 0.42980 0.00034
89  181 0.43000 0.00031
90  184 0.43020 0.00028
91  186 0.43040 0.00025
92  187 0.43050 0.00023
93  188 0.43070 0.00021
94  191 0.43080 0.00019
95  191 0.43090 0.00018
96  193 0.43110 0.00016
97  194 0.43120 0.00015
98  195 0.43130 0.00013
99  197 0.43140 0.00012
100 200 0.43140 0.00011
