
Call:  glmnet(x = x, y = y, alpha = 0.8, family = "gaussian", standardize = TRUE) 

   Df    %Dev  Lambda
1   0 0.00000 0.58180
2   1 0.00763 0.53010
3   1 0.01405 0.48300
4   1 0.01944 0.44010
5   3 0.02721 0.40100
6   3 0.03990 0.36540
7   3 0.05055 0.33290
8   5 0.06215 0.30340
9   7 0.07786 0.27640
10 10 0.09657 0.25180
11 11 0.11370 0.22950
12 14 0.13150 0.20910
13 16 0.14980 0.19050
14 17 0.16640 0.17360
15 18 0.18070 0.15820
16 32 0.19480 0.14410
17 36 0.20980 0.13130
18 36 0.22420 0.11960
19 39 0.23680 0.10900
20 43 0.24970 0.09933
21 46 0.26180 0.09051
22 48 0.27460 0.08247
23 52 0.28750 0.07514
24 56 0.30100 0.06847
25 57 0.31250 0.06238
26 59 0.32240 0.05684
27 60 0.33190 0.05179
28 62 0.34030 0.04719
29 63 0.34760 0.04300
30 66 0.35430 0.03918
31 67 0.36070 0.03570
32 67 0.36630 0.03253
33 68 0.37100 0.02964
34 68 0.37530 0.02700
35 68 0.37890 0.02461
36 68 0.38190 0.02242
37 69 0.38450 0.02043
38 69 0.38670 0.01861
39 71 0.38870 0.01696
40 75 0.39070 0.01545
41 77 0.39250 0.01408
42 78 0.39410 0.01283
43 79 0.39560 0.01169
44 81 0.39700 0.01065
45 81 0.39810 0.00970
46 81 0.39910 0.00884
47 82 0.39990 0.00806
48 82 0.40060 0.00734
49 82 0.40120 0.00669
50 83 0.40170 0.00610
51 83 0.40210 0.00555
52 83 0.40240 0.00506
53 83 0.40270 0.00461
54 83 0.40300 0.00420
55 83 0.40320 0.00383
56 85 0.40330 0.00349
57 85 0.40350 0.00318
58 85 0.40360 0.00290
59 85 0.40370 0.00264
60 85 0.40380 0.00240
61 85 0.40390 0.00219
62 85 0.40390 0.00200
63 85 0.40400 0.00182
64 85 0.40400 0.00166
65 85 0.40410 0.00151
66 85 0.40410 0.00138
67 86 0.40410 0.00125
68 87 0.40420 0.00114
69 86 0.40420 0.00104
70 86 0.40420 0.00095
71 86 0.40420 0.00086
72 86 0.40420 0.00079
73 86 0.40420 0.00072
74 86 0.40420 0.00065
75 86 0.40420 0.00060
76 86 0.40430 0.00054
77 86 0.40430 0.00049
78 87 0.40430 0.00045
79 87 0.40430 0.00041
