
Call:  glmnet(x = x, y = y, alpha = 0.55, family = "gaussian", standardize = TRUE) 

    Df    %Dev  Lambda
1    0 0.00000 0.70080
2    2 0.00569 0.63850
3    3 0.01471 0.58180
4    4 0.02440 0.53010
5    4 0.03515 0.48300
6    6 0.04625 0.44010
7    9 0.06089 0.40100
8   14 0.08084 0.36540
9   16 0.10130 0.33290
10  20 0.12230 0.30340
11  21 0.14410 0.27640
12  23 0.16290 0.25180
13  27 0.18070 0.22950
14  31 0.19940 0.20910
15  32 0.21750 0.19050
16  35 0.23450 0.17360
17  38 0.25050 0.15820
18  41 0.26550 0.14410
19  46 0.28130 0.13130
20  48 0.29750 0.11960
21  48 0.31250 0.10900
22  52 0.32550 0.09933
23  54 0.33710 0.09051
24  55 0.34720 0.08247
25  57 0.35620 0.07514
26  67 0.36550 0.06847
27  69 0.37400 0.06238
28  72 0.38320 0.05684
29  71 0.39320 0.05179
30  75 0.40210 0.04719
31  74 0.41060 0.04300
32  76 0.41770 0.03918
33  77 0.42400 0.03570
34  79 0.42950 0.03253
35  80 0.43430 0.02964
36  81 0.43840 0.02700
37  83 0.44240 0.02461
38  85 0.44640 0.02242
39  85 0.44990 0.02043
40  85 0.45300 0.01861
41  85 0.45570 0.01696
42  85 0.45800 0.01545
43  85 0.46020 0.01408
44  85 0.46190 0.01283
45  86 0.46340 0.01169
46  87 0.46470 0.01065
47  88 0.46580 0.00970
48  90 0.46690 0.00884
49  90 0.46790 0.00806
50  95 0.46880 0.00734
51  95 0.46990 0.00669
52  97 0.47080 0.00610
53  99 0.47150 0.00555
54  99 0.47230 0.00506
55  99 0.47290 0.00461
56  99 0.47340 0.00420
57  99 0.47380 0.00383
58  99 0.47410 0.00349
59  99 0.47440 0.00318
60  99 0.47470 0.00290
61 106 0.47490 0.00264
62 106 0.47510 0.00240
63 105 0.47520 0.00219
64 105 0.47540 0.00200
65 105 0.47550 0.00182
66 105 0.47560 0.00166
67 106 0.47560 0.00151
68 106 0.47570 0.00138
69 106 0.47580 0.00125
70 106 0.47580 0.00114
71 107 0.47590 0.00104
72 107 0.47590 0.00095
73 107 0.47590 0.00086
74 107 0.47600 0.00079
75 107 0.47600 0.00072
76 107 0.47600 0.00065
77 107 0.47600 0.00060
78 107 0.47600 0.00054
79 107 0.47600 0.00049
80 107 0.47610 0.00045
81 107 0.47610 0.00041
