
Call:  glmnet(x = x, y = y, alpha = 0.8, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1    0 0.00000 2.81600
2    1 0.00166 2.56600
3    1 0.00304 2.33800
4    1 0.00419 2.13000
5    1 0.00515 1.94100
6    1 0.00594 1.76800
7    1 0.00660 1.61100
8    1 0.00714 1.46800
9    1 0.00760 1.33800
10   1 0.00797 1.21900
11   1 0.00829 1.11100
12   2 0.00857 1.01200
13   2 0.00884 0.92200
14   2 0.00907 0.84010
15   2 0.00926 0.76550
16   2 0.00942 0.69750
17   2 0.00955 0.63550
18   3 0.00966 0.57910
19   3 0.01067 0.52760
20   3 0.01151 0.48080
21   3 0.01221 0.43800
22   3 0.01280 0.39910
23   3 0.01328 0.36370
24   4 0.01369 0.33140
25   4 0.01406 0.30190
26   4 0.01437 0.27510
27   4 0.01463 0.25070
28   4 0.01485 0.22840
29   4 0.01502 0.20810
30   7 0.02247 0.18960
31   8 0.03672 0.17280
32   8 0.04907 0.15740
33   8 0.05951 0.14340
34  10 0.07025 0.13070
35  10 0.08176 0.11910
36  11 0.09200 0.10850
37  13 0.10580 0.09887
38  13 0.11780 0.09008
39  14 0.12790 0.08208
40  16 0.13700 0.07479
41  18 0.14660 0.06815
42  19 0.15720 0.06209
43  22 0.16740 0.05658
44  24 0.17760 0.05155
45  24 0.18660 0.04697
46  28 0.19700 0.04280
47  32 0.20820 0.03900
48  32 0.22000 0.03553
49  31 0.23000 0.03237
50  34 0.23990 0.02950
51  34 0.24890 0.02688
52  37 0.25790 0.02449
53  40 0.26690 0.02231
54  45 0.27650 0.02033
55  46 0.28770 0.01853
56  51 0.29970 0.01688
57  57 0.31310 0.01538
58  59 0.32570 0.01401
59  62 0.33790 0.01277
60  64 0.35100 0.01163
61  64 0.36240 0.01060
62  65 0.37320 0.00966
63  66 0.38240 0.00880
64  67 0.39080 0.00802
65  68 0.39910 0.00731
66  70 0.40640 0.00666
67  70 0.41290 0.00607
68  72 0.41880 0.00553
69  74 0.42460 0.00504
70  76 0.43000 0.00459
71  78 0.43470 0.00418
72  79 0.43920 0.00381
73  80 0.44330 0.00347
74  80 0.44660 0.00316
75  78 0.44970 0.00288
76  79 0.45210 0.00263
77  78 0.45450 0.00239
78  80 0.45660 0.00218
79  81 0.45870 0.00199
80  81 0.46050 0.00181
81  81 0.46200 0.00165
82  83 0.46340 0.00150
83  85 0.46480 0.00137
84  87 0.46600 0.00125
85  88 0.46710 0.00114
86  90 0.46820 0.00104
87  91 0.46920 0.00094
88  91 0.47010 0.00086
89  91 0.47090 0.00078
90  92 0.47160 0.00071
91  93 0.47230 0.00065
92  93 0.47290 0.00059
93  93 0.47340 0.00054
94  93 0.47380 0.00049
95  93 0.47420 0.00045
96  92 0.47450 0.00041
97  92 0.47470 0.00037
98  92 0.47490 0.00034
99  92 0.47510 0.00031
100 92 0.47530 0.00028
