
Call:  glmnet(x = x, y = y, alpha = 0.15, family = "gaussian", standardize = FALSE) 

     Df    %Dev Lambda
1     0 0.00000 7.4700
2     1 0.00036 6.8060
3     1 0.00066 6.2020
4     1 0.00091 5.6510
5     1 0.00112 5.1490
6     1 0.00130 4.6910
7     1 0.00145 4.2750
8     1 0.00157 3.8950
9     1 0.00167 3.5490
10    1 0.00175 3.2340
11    1 0.00182 2.9460
12    2 0.00192 2.6850
13    2 0.00243 2.4460
14    2 0.00286 2.2290
15    2 0.00323 2.0310
16    2 0.00354 1.8500
17    2 0.00380 1.6860
18    2 0.00402 1.5360
19    3 0.00466 1.4000
20    3 0.00695 1.2750
21    3 0.00923 1.1620
22    3 0.01149 1.0590
23    4 0.01419 0.9648
24    6 0.01882 0.8791
25    8 0.02420 0.8010
26   10 0.03027 0.7298
27   10 0.03723 0.6650
28   10 0.04394 0.6059
29   10 0.05039 0.5521
30   12 0.05719 0.5030
31   13 0.06489 0.4583
32   13 0.07242 0.4176
33   13 0.07963 0.3805
34   17 0.08712 0.3467
35   22 0.09556 0.3159
36   25 0.10440 0.2879
37   29 0.11410 0.2623
38   30 0.12400 0.2390
39   33 0.13390 0.2178
40   33 0.14350 0.1984
41   37 0.15310 0.1808
42   40 0.16290 0.1647
43   42 0.17280 0.1501
44   44 0.18240 0.1368
45   47 0.19220 0.1246
46   49 0.20210 0.1135
47   53 0.21230 0.1034
48   55 0.22240 0.0943
49   59 0.23260 0.0859
50   62 0.24270 0.0783
51   63 0.25240 0.0713
52   63 0.26180 0.0650
53   64 0.27070 0.0592
54   68 0.27940 0.0539
55   70 0.28780 0.0492
56   71 0.29600 0.0448
57   71 0.30390 0.0408
58   72 0.31150 0.0372
59   72 0.31870 0.0339
60   77 0.32560 0.0309
61   78 0.33240 0.0281
62   78 0.33890 0.0256
63   78 0.34500 0.0234
64   78 0.35080 0.0213
65   79 0.35640 0.0194
66   80 0.36160 0.0177
67   81 0.36650 0.0161
68   84 0.37120 0.0147
69   85 0.37560 0.0134
70   87 0.37990 0.0122
71   88 0.38390 0.0111
72   89 0.38770 0.0101
73   89 0.39120 0.0092
74   90 0.39440 0.0084
75   92 0.39740 0.0076
76   94 0.40020 0.0070
77   96 0.40290 0.0063
78   98 0.40530 0.0058
79   99 0.40750 0.0053
80  101 0.40960 0.0048
81  101 0.41140 0.0044
82  102 0.41320 0.0040
83  103 0.41470 0.0036
84  102 0.41610 0.0033
85  103 0.41740 0.0030
86  104 0.41870 0.0027
87  105 0.41980 0.0025
88  105 0.42080 0.0023
89  106 0.42170 0.0021
90  105 0.42260 0.0019
91  106 0.42330 0.0017
92  106 0.42400 0.0016
93  106 0.42470 0.0014
94  105 0.42520 0.0013
95  107 0.42560 0.0012
96  107 0.42610 0.0011
97  107 0.42650 0.0010
98  109 0.42680 0.0009
99  110 0.42710 0.0008
100 109 0.42740 0.0007
