
Call:  glmnet(x = x, y = y, alpha = 0.15, family = "gaussian", standardize = TRUE) 

    Df    %Dev  Lambda
1    0 0.00000 3.11400
2    1 0.00351 2.83700
3    1 0.00688 2.58500
4    2 0.01128 2.35600
5    3 0.01698 2.14600
6    4 0.02415 1.95600
7    5 0.03373 1.78200
8    6 0.04488 1.62400
9    8 0.05636 1.47900
10  10 0.06898 1.34800
11  15 0.08280 1.22800
12  18 0.10070 1.11900
13  21 0.11880 1.02000
14  21 0.13600 0.92910
15  25 0.15250 0.84660
16  27 0.16990 0.77140
17  34 0.18740 0.70280
18  38 0.20500 0.64040
19  40 0.22200 0.58350
20  44 0.23840 0.53170
21  45 0.25330 0.48440
22  46 0.26680 0.44140
23  51 0.28000 0.40220
24  60 0.29240 0.36650
25  65 0.30400 0.33390
26  68 0.31490 0.30420
27  69 0.32560 0.27720
28  71 0.33550 0.25260
29  75 0.34430 0.23020
30  76 0.35240 0.20970
31  77 0.36000 0.19110
32  79 0.36680 0.17410
33  80 0.37300 0.15860
34  84 0.37860 0.14450
35  85 0.38400 0.13170
36  88 0.38890 0.12000
37  89 0.39340 0.10930
38  90 0.39750 0.09963
39  91 0.40100 0.09078
40  90 0.40410 0.08271
41  90 0.40690 0.07536
42  90 0.40930 0.06867
43  89 0.41140 0.06257
44  87 0.41330 0.05701
45  88 0.41500 0.05195
46  89 0.41640 0.04733
47  91 0.41780 0.04313
48  91 0.41910 0.03929
49  90 0.42020 0.03580
50  92 0.42110 0.03262
51  93 0.42200 0.02973
52  95 0.42280 0.02708
53  97 0.42360 0.02468
54  98 0.42430 0.02249
55  97 0.42490 0.02049
56  96 0.42540 0.01867
57  96 0.42580 0.01701
58  97 0.42620 0.01550
59  98 0.42660 0.01412
60  98 0.42700 0.01287
61  96 0.42720 0.01172
62  97 0.42740 0.01068
63  98 0.42770 0.00973
64 100 0.42790 0.00887
65 100 0.42810 0.00808
66 100 0.42820 0.00736
67 102 0.42840 0.00671
68 104 0.42850 0.00611
69 105 0.42860 0.00557
70 107 0.42870 0.00507
71 115 0.42880 0.00462
72 110 0.42890 0.00421
73 110 0.42890 0.00384
74 111 0.42900 0.00350
75 112 0.42900 0.00319
76 113 0.42910 0.00290
77 113 0.42910 0.00265
78 114 0.42910 0.00241
79 114 0.42920 0.00220
80 114 0.42920 0.00200
81 114 0.42920 0.00182
82 114 0.42920 0.00166
83 115 0.42930 0.00151
84 115 0.42930 0.00138
85 115 0.42930 0.00126
86 115 0.42930 0.00114
87 116 0.42930 0.00104
88 115 0.42930 0.00095
89 115 0.42930 0.00087
90 120 0.42930 0.00079
91 120 0.42930 0.00072
92 120 0.42930 0.00066
93 120 0.42930 0.00060
