
Call:  glmnet(x = x, y = y, alpha = 0.4, family = "gaussian", standardize = TRUE) 

   Df     %Dev  Lambda
1   0 0.000000 1.16500
2   1 0.005855 1.06200
3   1 0.011030 0.96720
4   2 0.015810 0.88130
5   2 0.023480 0.80300
6   3 0.031680 0.73170
7   3 0.039030 0.66670
8   5 0.048640 0.60750
9   5 0.058470 0.55350
10  7 0.069270 0.50430
11  7 0.081570 0.45950
12  7 0.092250 0.41870
13 10 0.102800 0.38150
14 13 0.114700 0.34760
15 17 0.126400 0.31670
16 20 0.137900 0.28860
17 23 0.149800 0.26300
18 24 0.160900 0.23960
19 24 0.170800 0.21830
20 28 0.179700 0.19890
21 31 0.188600 0.18120
22 33 0.196800 0.16510
23 37 0.204700 0.15050
24 38 0.212000 0.13710
25 41 0.219300 0.12490
26 41 0.226300 0.11380
27 41 0.232400 0.10370
28 43 0.237900 0.09450
29 42 0.242900 0.08610
30 43 0.247000 0.07846
31 44 0.250800 0.07149
32 46 0.254000 0.06513
33 46 0.256900 0.05935
34 47 0.259300 0.05408
35 50 0.261800 0.04927
36 51 0.264100 0.04490
37 51 0.266100 0.04091
38 51 0.267800 0.03727
39 54 0.269300 0.03396
40 54 0.270600 0.03094
41 55 0.271800 0.02820
42 55 0.272700 0.02569
43 55 0.273600 0.02341
44 55 0.274200 0.02133
45 56 0.274800 0.01943
46 55 0.275300 0.01771
47 55 0.275800 0.01613
48 55 0.276100 0.01470
49 55 0.276400 0.01340
50 56 0.276700 0.01221
51 56 0.277000 0.01112
52 56 0.277200 0.01013
53 56 0.277400 0.00923
54 56 0.277500 0.00841
55 56 0.277600 0.00766
56 56 0.277700 0.00698
57 56 0.277800 0.00636
58 57 0.277900 0.00580
59 58 0.277900 0.00528
60 59 0.278000 0.00481
61 59 0.278100 0.00439
62 60 0.278100 0.00400
63 61 0.278200 0.00364
64 61 0.278200 0.00332
65 62 0.278200 0.00302
66 62 0.278300 0.00276
67 62 0.278300 0.00251
68 62 0.278300 0.00229
69 62 0.278300 0.00208
70 63 0.278400 0.00190
71 63 0.278400 0.00173
72 63 0.278400 0.00158
73 63 0.278400 0.00144
74 63 0.278400 0.00131
75 63 0.278400 0.00119
76 63 0.278400 0.00109
